COMM,mapping
afs,svces
atp,svces
b_t,food
bph,mnfcs
c_b,c_b
chm,mnfcs
cmn,svces
cmt,food
cns,svces
coa,mnfcs
ctl,livestock
dwe,svces
edu,svces
eeq,mnfcs
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,mnfcs
fsh,livestock
gas,mnfcs
gdt,mnfcs
gro,gro
hht,svces
i_s,mnfcs
ins,svces
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,livestock
obs,svces
ocr,ocr
ofd,food
ofi,svces
oil,mnfcs
ome,mnfcs
omf,mnfcs
omt,food
osd,osd
osg,svces
otn,mnfcs
otp,svces
oxt,mnfcs
p_c,mnfcs
pcr,food
pdr,pdr
pfb,mnfcs
ppp,mnfcs
rmk,livestock
ros,svces
rpp,mnfcs
rsa,svces
sgr,sgr
tex,mnfcs
trd,svces
v_f,v_f
vol,food
wap,mnfcs
whs,svces
wht,wht
wol,livestock
wtp,svces
wtr,svces
