REG,mapping
afg,row
alb,row
are,row
arg,row
arm,row
aus,row
aut,aut
aze,row
bel,bel
ben,row
bfa,row
bgd,row
bgr,bgr
bhr,row
blr,row
bol,row
bra,row
brn,row
bwa,row
caf,row
can,row
che,row
chl,row
chn,row
civ,row
cmr,row
cod,row
cog,row
col,row
com,row
cri,row
cyp,cyp
cze,cze
deu,deu
dnk,dnk
dom,row
dza,row
ecu,row
egy,row
esp,esp
est,est
eth,row
fin,fin
fra,fra
gab,row
gbr,gbr
geo,row
gha,row
gin,row
gnq,row
grc,grc
gtm,row
hkg,row
hnd,row
hrv,hrv
hti,row
hun,hun
idn,row
ind,row
irl,irl
irn,row
irq,row
isr,row
ita,ita
jam,row
jor,row
jpn,row
kaz,row
ken,row
kgz,row
khm,row
kor,row
kwt,row
lao,row
lbn,row
lka,row
ltu,ltu
lux,lux
lva,lva
mar,row
mdg,row
mex,row
mli,row
mlt,mlt
mng,row
moz,row
mus,row
mwi,row
mys,row
nam,row
ner,row
nga,row
nic,row
nld,nld
nor,row
npl,row
nzl,row
omn,row
pak,row
pan,row
per,row
phl,row
pol,pol
pri,row
prt,prt
pry,row
pse,row
qat,row
rou,rou
rus,row
rwa,row
sau,row
sdn,row
sen,row
sgp,row
slv,row
srb,row
svk,svk
svn,svn
swe,swe
swz,row
syr,row
tcd,row
tgo,row
tha,row
tjk,row
tto,row
tun,row
tur,row
twn,row
tza,row
uga,row
ukr,row
ury,row
usa,row
uzb,row
ven,row
vnm,row
xac,row
xca,row
xcb,row
xea,row
xec,row
xee,row
xef,row
xer,row
xna,row
xnf,row
xoc,row
xsa,row
xsc,row
xse,row
xsm,row
xsu,row
xtw,row
xwf,row
xws,row
zaf,row
zmb,row
zwe,row
