REG,mapping
afg,sas
alb,eca
are,mena
arg,lac
arm,eca
aus,eap
aut,aut
aze,eca
bel,bel
ben,ssa
bfa,ssa
bgd,sas
bgr,bgr
bhr,mena
blr,eca
bol,lac
bra,lac
brn,eap
bwa,ssa
caf,ssa
can,nam
che,eca
chl,lac
chn,eap
civ,ssa
cmr,ssa
cod,ssa
cog,ssa
col,lac
com,ssa
cri,lac
cyp,cyp
cze,cze
deu,deu
dnk,dnk
dom,lac
dza,mena
ecu,lac
egy,mena
esp,esp
est,est
eth,ssa
fin,fin
fra,fra
gab,ssa
gbr,gbr
geo,eca
gha,ssa
gin,ssa
gnq,ssa
grc,grc
gtm,lac
hkg,eap
hnd,lac
hrv,hrv
hti,lac
hun,hun
idn,eap
ind,sas
irl,irl
irn,mena
irq,mena
isr,mena
ita,ita
jam,lac
jor,mena
jpn,eap
kaz,eca
ken,ssa
kgz,eca
khm,eap
kor,eap
kwt,mena
lao,eap
lbn,mena
lka,sas
ltu,ltu
lux,lux
lva,lva
mar,mena
mdg,ssa
mex,lac
mli,ssa
mlt,mlt
mng,eap
moz,ssa
mus,ssa
mwi,ssa
mys,eap
nam,ssa
ner,ssa
nga,ssa
nic,lac
nld,nld
nor,eca
npl,sas
nzl,eap
omn,mena
pak,sas
pan,lac
per,lac
phl,eap
pol,pol
pri,lac
prt,prt
pry,lac
pse,mena
qat,mena
rou,rou
rus,eca
rwa,ssa
sau,mena
sdn,ssa
sen,ssa
sgp,eap
slv,lac
srb,eca
svk,svk
svn,svn
swe,swe
swz,ssa
syr,mena
tcd,ssa
tgo,ssa
tha,eap
tjk,eca
tto,lac
tun,mena
tur,eca
twn,eap
tza,ssa
uga,ssa
ukr,eca
ury,lac
usa,nam
uzb,eca
ven,lac
vnm,eap
xac,ssa
xca,lac
xcb,lac
xea,eap
xec,ssa
xee,eca
xef,eca
xer,eca
xna,nam
xnf,mena
xoc,eap
xsa,sas
xsc,ssa
xse,eap
xsm,lac
xsu,eca
xtw,lac
xwf,ssa
xws,mena
zaf,ssa
zmb,ssa
zwe,ssa
