"CNTR_NAME","CNTR_CODE_Eurostat","CNTR_CODE_iso2","CNTR_CODE_iso3","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"Albania","AL","AL","ALB",10188.36638964,1254.93659089521,5390.15094410022,1253.45855062128,42010.2531638301,6060.80431304797
"Andorra","AD","AD","AND",116.617930922182,43.9507987823554,1786.37817744178,451.353067820001,7729.81362837641,1040.08037338982
"Austria","AT","AT","AUT",98409.3819917214,6810.5075657316,445512.977017451,58078.3971218596,1763313.29708694,138336.598911517
"Belgium","BE","BE","BEL",18188.9458313904,1400.0287593932,336602.069889158,36437.0929934028,1388863.69796305,174005.239510354
"Bulgaria","BG","BG","BGR",5604.88521762923,5855.8128962435,53015.9898409295,13103.7123324318,202170.053853513,4432.44212624435
"Bosnia and Herzegovina","BA","BA","BIH",4502.12019774,1527.50774166489,6400.01003194549,1756.89288567401,49223.0240258294,6412.56192709696
"Switzerland","CH","CH","CHE",43404.8281694119,3579.72826324198,582324.138688793,97657.8780901629,2695024.18333139,104210.950637014
"Cyprus","CY","CY","CYP",3004.79936181751,503.242531820155,12727.4515698518,3487.28898429461,80144.3955497963,1750.80847997746
"Czechia","CZ","CZ","CZE",33644.9274475454,38359.9410364842,368078.340316297,71924.4585742723,977894.447903722,111882.293134697
"Germany","DE","DE","DEU",392750.657586322,40588.1997243855,2712319.1934798,416505.296811513,14266337.6062899,578108.61890635
"Denmark","DK","DK","DNK",43237.1027560141,41483.4829737274,188631.887435906,73211.8717741358,952660.726005229,43037.5090042814
"Estonia","EE","EE","EST",4527.82186549537,1606.81473740002,25819.4558971826,9485.69195497363,80915.9318453477,4645.09112527775
"Greece","EL","GR","GRC",31575.3993216834,20215.9271308157,92991.5834185644,36101.7941671905,872593.072585771,23009.2628661726
"Spain","ES","ES","ESP",108855.316146834,48214.9024786927,1454560.75375056,239401.276232052,5236644.89667648,267952.954962414
"Finland","FI","FI","FIN",27160.1681456535,11166.9160988185,116843.854449826,36937.9979062206,645041.064199738,10357.5004052192
"France","FR","FR","FRA",258989.306534047,124170.087186421,1342644.70564555,181897.121463335,11769281.7392012,174135.544170851
"Croatia","HR","HR","HRV",5685.18899320867,826.799700938956,73397.5575880475,10328.2325082956,237582.633582385,21976.5151113576
"Hungary","HU","HU","HUN",52856.4489058412,4593.39267174693,235174.768737701,23945.8210542297,719244.133856403,42279.6232337739
"Ireland","IE","IE","IRL",26232.1401137945,4470.82481752243,194635.328760901,77195.2545270823,1149269.90643131,25322.4159819526
"Iceland","IS","IS","ISL",2881.32855606652,334.036251496726,13904.6319610496,2215.96300679155,52999.9823630043,7489.50394400289
"Italy","IT","IT","ITA",333808.90428826,224337.136516545,1451446.73563387,397264.518244832,7083573.09590825,432525.239432513
"Liechtenstein","LI","LI","LIE",58.460332610467,43.0781152969677,6260.88680462585,478.68250174671,15671.2374442363,666.612913795901
"Lithuania","LT","LT","LTU",13474.8908299442,1813.08496962938,56652.5279591898,17568.8604550473,178271.493019453,13727.7169163513
"Luxembourg","LU","LU","LUX",5269.34657873297,246.079570018772,39558.6350501487,11457.7867993164,193819.977718307,3750.92983281976
"Latvia","LV","LV","LVA",30332.8615947312,1758.98428931193,53693.8175636095,16406.3229564671,156236.829775154,14785.9780972763
"Moldova (the Republic of)","MD","MD","MDA",2215.14619032617,641.57773694067,5217.33192538961,1676.93057815921,37917.1336400279,4810.07644361538
"Montenegro","ME","ME","MNE",1053.86460696325,16.574342972981,1941.60042183155,324.818916796922,11710.6877611665,540.976872216618
"North Macedonia","MK","MK","MKD",2262.60610368246,894.041112783053,4133.16263166749,691.013789721092,34497.9038713948,1134.27336314461
"Malta","MT","MT","MLT",278.422978133303,0,9505.01757709341,0,31245.2456575937,1902.21256948189
"Netherlands (the)","NL","NL","NLD",104841.842559098,135363.291168268,432684.181296355,95322.8528269714,2652334.79573403,78641.3899478682
"Norway","NO","NO","NOR",34351.1509158374,10127.0141817271,188917.677836046,70703.1902571446,894862.930694733,17179.5511471946
"Poland","PL","PL","POL",190958.442268907,164592.599583879,1340876.8253424,234184.959440311,1469390.66068214,599405.449054662
"Portugal","PT","PT","PRT",27862.3517329851,9270.90556886287,208384.333476582,47897.9075131236,898697.811602151,54370.0824367641
"Romania","RO","RO","ROU",103899.037234941,100192.87606128,533050.537022347,95068.8518236832,1132204.13159343,89823.4089218849
"Sweden","SE","SE","SWE",76651.127004103,22384.5135119839,393387.004657125,175495.592251207,1546550.90048093,31342.7894052828
"Slovenia","SI","SI","SVN",6030.10671625934,961.135424575385,52191.9805901361,9752.96072655961,152225.965549925,11751.0453403366
"Slovakia","SK","SK","SVK",18112.4556515916,16024.1796511293,183037.53334215,47289.588704026,315102.984085839,29919.2329624496
"Serbia","RS","RS","SRB",25578.3414225,4173.35303869846,17850.0788856614,4693.13040773351,140877.971442349,19508.5674537849
"Turkey","TR","TR","TUR",187089.953217,55959.137609068,255042.454250823,56738.7897276366,2156568.40212207,273452.40094347
"United Kingdom","UK","GB","GBR",125124.750493363,878069.487210452,936632.384743167,327169.387734014,6450831.80364602,376260.209759146
