"CNTR_NAME","CNTR_CODE_Eurostat","CNTR_CODE_iso2","CNTR_CODE_iso3","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"Albania","AL","AL","ALB",10188.36638964,1254.93659089521,3505.7815965639,1253.45855062128,1884.36934753632,1289.41036414602,6060.80431304797,915.084185669928,1105.39927268095,315.019965344824,212.844467066242,30010.1639779601,7719.77140472251,442.559526239559
"Andorra","AD","AD","AND",116.617930922182,43.9507987823554,789.298047533465,451.353067820001,997.08012990831,636.059162421039,1040.08037338982,220.431861097577,273.355812288974,14.8539248029955,226.022846674521,3554.05186421079,2380.02055470048,425.017602180038
"Austria","AT","AT","AUT",98409.3819917214,6810.5075657316,306950.579844969,58078.3971218596,138562.397172482,126374.120384726,138336.598911517,93036.9383792195,22366.9053527422,49916.0529492109,56433.7717282756,920185.546595635,404678.472884646,90321.4888124832
"Belgium","BE","BE","BEL",18188.9458313904,1400.0287593932,239492.082181201,36437.0929934028,97109.9877079575,79445.6711476043,174005.239510354,17522.3673414847,10876.2346609374,31460.9709833297,78706.7062188731,882875.043870773,270845.097957738,17131.6057823127
"Bulgaria","BG","BG","BGR",5604.88521762923,5855.8128962435,39799.619303601,13103.7123324318,13216.3705373285,11159.5002452023,4432.44212624435,5304.25155439786,2323.21771732928,2128.99446253125,6020.31180973908,138996.25643205,34680.2333321307,1557.28830013283
"Bosnia and Herzegovina","BA","BA","BIH",4502.12019774,1527.50774166489,4267.23435127314,1756.89288567401,2132.77568067235,1807.28424913582,6412.56192709696,1282.61512500706,1549.36764126727,441.543388638795,298.330511015628,32403.2645629746,10820.3110930666,620.307454723695
"Switzerland","CH","CH","CHE",43404.8281694119,3579.72826324198,459462.144753697,97657.8780901629,122861.993935096,78787.5091858274,104210.950637014,24037.0177383618,44676.9694191128,92469.0262100085,45815.9856854882,1646158.94515026,680250.266361174,82828.4635811552
"Cyprus","CY","CY","CYP",3004.79936181751,503.242531820155,8599.25223428942,3487.28898429461,4128.19933556235,4902.62190839491,1750.80847997746,6253.70292657672,2061.6578453084,732.516502318286,631.996970062507,48783.8686056496,13808.786790799,2969.24400068687
"Czechia","CZ","CZ","CZE",33644.9274475454,38359.9410364842,326394.586935213,71924.4585742723,41683.753381084,53352.6772303819,111882.293134697,17027.9205921744,25117.4852390883,17439.6484226413,28405.7093711851,458782.799277603,346218.886669679,31549.3211009698
"Germany","DE","DE","DEU",392750.657586322,40588.1997243855,2163234.90886152,416505.296811513,549084.284618282,391328.149138193,578108.61890635,108095.757512934,140332.792463266,354553.617100219,304673.877090411,9112764.83215395,3352403.83746654,502184.743364422
