ENDW_COMMi,PROD_COMMj,REGr,Value
capital,b_t,anuz,0
capital,b_t,bra,0
capital,b_t,can_xna,0
capital,b_t,cas,0
capital,b_t,chn,0
capital,b_t,eeu,0
capital,b_t,eeu_fsu,0
capital,b_t,efta,0
capital,b_t,eu12_h,0
capital,b_t,eu12_m,0
capital,b_t,eu15,0
capital,b_t,idn,0
capital,b_t,ind,0
capital,b_t,jpn,0
capital,b_t,kor,0
capital,b_t,lam_l,0
capital,b_t,lam_m,0
capital,b_t,mea_h,0
capital,b_t,mea_m,0
capital,b_t,mex,0
capital,b_t,naf,0
capital,b_t,oas_cpa,0
capital,b_t,oas_l,0
capital,b_t,oas_m,0
capital,b_t,pak,0
capital,b_t,rus,0
capital,b_t,ssa_l,0
capital,b_t,ssa_m,0
capital,b_t,tur,0
capital,b_t,twn,0
capital,b_t,usa,0
capital,b_t,zaf,0
capital,c_b,anuz,0
capital,c_b,bra,0
capital,c_b,can_xna,0
capital,c_b,cas,0
capital,c_b,chn,0
capital,c_b,eeu,0
capital,c_b,eeu_fsu,0
capital,c_b,efta,0
capital,c_b,eu12_h,0
capital,c_b,eu12_m,0
capital,c_b,eu15,0
capital,c_b,idn,0
capital,c_b,ind,0
capital,c_b,jpn,0
capital,c_b,kor,0
capital,c_b,lam_l,0
capital,c_b,lam_m,0
capital,c_b,mea_h,0
capital,c_b,mea_m,0
capital,c_b,mex,0
capital,c_b,naf,0
capital,c_b,oas_cpa,0
capital,c_b,oas_l,0
capital,c_b,oas_m,0
capital,c_b,pak,0
capital,c_b,rus,0
capital,c_b,ssa_l,0
capital,c_b,ssa_m,0
capital,c_b,tur,0
capital,c_b,twn,0
capital,c_b,usa,0
capital,c_b,zaf,0
capital,cmn,anuz,0
capital,cmn,bra,0
capital,cmn,can_xna,0
capital,cmn,cas,0
capital,cmn,chn,0
capital,cmn,eeu,0
capital,cmn,eeu_fsu,0
capital,cmn,efta,0
capital,cmn,eu12_h,0
capital,cmn,eu12_m,0
capital,cmn,eu15,0
capital,cmn,idn,0
capital,cmn,ind,0
capital,cmn,jpn,0
capital,cmn,kor,0
capital,cmn,lam_l,0
capital,cmn,lam_m,0
capital,cmn,mea_h,0
capital,cmn,mea_m,0
capital,cmn,mex,0
capital,cmn,naf,0
capital,cmn,oas_cpa,0
capital,cmn,oas_l,0
capital,cmn,oas_m,0
capital,cmn,pak,0
capital,cmn,rus,0
capital,cmn,ssa_l,0
capital,cmn,ssa_m,0
capital,cmn,tur,0
capital,cmn,twn,0
capital,cmn,usa,0
capital,cmn,zaf,0
capital,cmt,anuz,0
capital,cmt,bra,0
capital,cmt,can_xna,0
capital,cmt,cas,0
capital,cmt,chn,0
capital,cmt,eeu,0
capital,cmt,eeu_fsu,0
capital,cmt,efta,0
capital,cmt,eu12_h,0
capital,cmt,eu12_m,0
capital,cmt,eu15,0
capital,cmt,idn,0
capital,cmt,ind,0
capital,cmt,jpn,0
capital,cmt,kor,0
capital,cmt,lam_l,0
