ENDW_COMMi,PROD_COMMj,REGr,Value
capital,b_t,alb,0
capital,b_t,anuz,0
capital,b_t,aut,0
capital,b_t,bel,0
capital,b_t,bgr,0
capital,b_t,blr,0
capital,b_t,bra,0
capital,b_t,can_xna,0
capital,b_t,cas,0
capital,b_t,che,0
capital,b_t,chn,0
capital,b_t,cyp,0
capital,b_t,cze,0
capital,b_t,deu,0
capital,b_t,dnk,0
capital,b_t,esp,0
capital,b_t,est,0
capital,b_t,fin,0
capital,b_t,fra,0
capital,b_t,gbr,0
capital,b_t,grc,0
capital,b_t,hrv,0
capital,b_t,hun,0
capital,b_t,idn,0
capital,b_t,ind,0
capital,b_t,irl,0
capital,b_t,ita,0
capital,b_t,jpn,0
capital,b_t,kor,0
capital,b_t,lam_l,0
capital,b_t,lam_m,0
capital,b_t,ltu,0
capital,b_t,lux,0
capital,b_t,lva,0
capital,b_t,mea_h,0
capital,b_t,mea_m,0
capital,b_t,mex,0
capital,b_t,mlt,0
capital,b_t,naf,0
capital,b_t,nld,0
capital,b_t,nor,0
capital,b_t,oas_cpa,0
capital,b_t,oas_l,0
capital,b_t,oas_m,0
capital,b_t,pak,0
capital,b_t,pol,0
capital,b_t,prt,0
capital,b_t,rou,0
capital,b_t,rus,0
capital,b_t,ssa_l,0
capital,b_t,ssa_m,0
capital,b_t,svk,0
capital,b_t,svn,0
capital,b_t,swe,0
capital,b_t,tur,0
capital,b_t,twn,0
capital,b_t,ukr,0
capital,b_t,usa,0
capital,b_t,xee,0
capital,b_t,xef,0
capital,b_t,xer,0
capital,b_t,zaf,0
capital,c_b,alb,0
capital,c_b,anuz,0
capital,c_b,aut,0
capital,c_b,bel,0
capital,c_b,bgr,0
capital,c_b,blr,0
capital,c_b,bra,0
capital,c_b,can_xna,0
capital,c_b,cas,0
capital,c_b,che,0
capital,c_b,chn,0
capital,c_b,cyp,0
capital,c_b,cze,0
capital,c_b,deu,0
capital,c_b,dnk,0
capital,c_b,esp,0
capital,c_b,est,0
capital,c_b,fin,0
capital,c_b,fra,0
capital,c_b,gbr,0
capital,c_b,grc,0
capital,c_b,hrv,0
capital,c_b,hun,0
capital,c_b,idn,0
capital,c_b,ind,0
capital,c_b,irl,0
capital,c_b,ita,0
capital,c_b,jpn,0
capital,c_b,kor,0
capital,c_b,lam_l,0
capital,c_b,lam_m,0
capital,c_b,ltu,0
capital,c_b,lux,0
capital,c_b,lva,0
capital,c_b,mea_h,0
capital,c_b,mea_m,0
capital,c_b,mex,0
capital,c_b,mlt,0
capital,c_b,naf,0
capital,c_b,nld,0
capital,c_b,nor,0
capital,c_b,oas_cpa,0
capital,c_b,oas_l,0
capital,c_b,oas_m,0
capital,c_b,pak,0
capital,c_b,pol,0
capital,c_b,prt,0
capital,c_b,rou,0
capital,c_b,rus,0
capital,c_b,ssa_l,0
capital,c_b,ssa_m,0
capital,c_b,svk,0
capital,c_b,svn,0
capital,c_b,swe,0
capital,c_b,tur,0
capital,c_b,twn,0
capital,c_b,ukr,0
capital,c_b,usa,0
capital,c_b,xee,0
capital,c_b,xef,0
capital,c_b,xer,0
capital,c_b,zaf,0
capital,cmn,alb,0
capital,cmn,anuz,0
capital,cmn,aut,0
capital,cmn,bel,0
capital,cmn,bgr,0
capital,cmn,blr,0
capital,cmn,bra,0
capital,cmn,can_xna,0
capital,cmn,cas,0
capital,cmn,che,0
capital,cmn,chn,0
capital,cmn,cyp,0
capital,cmn,cze,0
capital,cmn,deu,0
capital,cmn,dnk,0
capital,cmn,esp,0
capital,cmn,est,0
capital,cmn,fin,0
capital,cmn,fra,0
capital,cmn,gbr,0
capital,cmn,grc,0
capital,cmn,hrv,0
capital,cmn,hun,0
capital,cmn,idn,0
capital,cmn,ind,0
capital,cmn,irl,0
capital,cmn,ita,0
capital,cmn,jpn,0
capital,cmn,kor,0
capital,cmn,lam_l,0
capital,cmn,lam_m,0
capital,cmn,ltu,0
capital,cmn,lux,0
capital,cmn,lva,0
capital,cmn,mea_h,0
capital,cmn,mea_m,0
capital,cmn,mex,0
capital,cmn,mlt,0
capital,cmn,naf,0
capital,cmn,nld,0
capital,cmn,nor,0
capital,cmn,oas_cpa,0
capital,cmn,oas_l,0
capital,cmn,oas_m,0
capital,cmn,pak,0
capital,cmn,pol,0
capital,cmn,prt,0
capital,cmn,rou,0
capital,cmn,rus,0
capital,cmn,ssa_l,0
capital,cmn,ssa_m,0
capital,cmn,svk,0
capital,cmn,svn,0
capital,cmn,swe,0
capital,cmn,tur,0
capital,cmn,twn,0
capital,cmn,ukr,0
capital,cmn,usa,0
capital,cmn,xee,0
capital,cmn,xef,0
capital,cmn,xer,0
capital,cmn,zaf,0
capital,cmt,alb,0
capital,cmt,anuz,0
capital,cmt,aut,0
capital,cmt,bel,0
capital,cmt,bgr,0
capital,cmt,blr,0
capital,cmt,bra,0
capital,cmt,can_xna,0
capital,cmt,cas,0
capital,cmt,che,0
capital,cmt,chn,0
capital,cmt,cyp,0
capital,cmt,cze,0
capital,cmt,deu,0
capital,cmt,dnk,0
capital,cmt,esp,0
capital,cmt,est,0
capital,cmt,fin,0
capital,cmt,fra,0
capital,cmt,gbr,0
capital,cmt,grc,0
capital,cmt,hrv,0
capital,cmt,hun,0
capital,cmt,idn,0
capital,cmt,ind,0
capital,cmt,irl,0
capital,cmt,ita,0
capital,cmt,jpn,0
capital,cmt,kor,0
capital,cmt,lam_l,0
capital,cmt,lam_m,0
capital,cmt,ltu,0
capital,cmt,lux,0
capital,cmt,lva,0
capital,cmt,mea_h,0
capital,cmt,mea_m,0
capital,cmt,mex,0
capital,cmt,mlt,0
capital,cmt,naf,0
capital,cmt,nld,0
capital,cmt,nor,0
capital,cmt,oas_cpa,0
