H1,mapping
alb,alb
are,mea_h
arg,lam_m
arm,cas
aus,anuz
aut,aut
aze,cas
bel,bel
ben,ssa_l
bfa,ssa_l
bgd,oas_l
bgr,bgr
bhr,mea_h
blr,blr
bol,lam_m
bra,bra
brn,oas_m
bwa,ssa_l
can,can_xna
che,che
chl,lam_m
chn,chn
civ,ssa_l
cmr,ssa_l
col,lam_m
cri,lam_m
cyp,cyp
cze,cze
deu,deu
dnk,dnk
dom,lam_m
ecu,lam_m
egy,naf
esp,esp
est,est
eth,ssa_l
fin,fin
fra,fra
gbr,gbr
geo,cas
gha,ssa_l
gin,ssa_m
grc,grc
gtm,lam_l
hkg,chn
hnd,lam_l
hrv,hrv
hun,hun
idn,idn
ind,ind
irl,irl
irn,mea_m
isr,mea_h
ita,ita
jam,lam_m
jor,mea_m
jpn,jpn
kaz,cas
ken,ssa_l
kgz,cas
khm,oas_cpa
kor,kor
kwt,mea_h
lao,oas_cpa
lka,oas_m
ltu,ltu
lux,lux
lva,lva
mar,naf
mdg,ssa_l
mex,mex
mlt,mlt
mng,oas_cpa
moz,ssa_l
mus,ssa_m
mwi,ssa_l
mys,oas_m
nam,ssa_l
nga,ssa_l
nic,lam_l
nld,nld
nor,nor
npl,oas_l
nzl,anuz
omn,mea_h
pak,pak
pan,lam_m
per,lam_m
phl,oas_l
pol,pol
pri,usa
prt,prt
pry,lam_m
qat,mea_h
rou,rou
rus,rus
rwa,ssa_l
sau,mea_h
sen,ssa_l
sgp,oas_m
slv,lam_m
svk,svk
svn,svn
swe,swe
tgo,ssa_l
tha,oas_m
tjk,cas
tto,lam_m
tun,naf
tur,tur
twn,twn
tza,ssa_l
uga,ssa_l
ukr,ukr
ury,lam_m
usa,usa
ven,lam_m
vnm,oas_cpa
xac,ssa_m
xca,lam_l
xcb,lam_m
xcf,ssa_l
xea,oas_l
xec,ssa_l
xee,xee
xef,xef
xer,xer
xna,can_xna
xnf,naf
xoc,oas_l
xsa,pak
xsc,ssa_l
xse,oas_l
xsm,lam_m
xsu,cas
xtw,oas_l
xwf,ssa_l
xws,mea_m
zaf,zaf
zmb,ssa_l
zwe,ssa_l
