"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL","AL01","Veri",4400.49524376,372.097434734819,1564.31002048692,365.425262408757,11781.2237215844,1863.24896285164
"AL","Albania","AL","ALB","AL","AL02","Qender",1489.5651687,672.095089209074,2553.62502920893,471.627727300386,15180.7792863276,2055.99156415778
"AL","Albania","AL","ALB","AL","AL03","Jug",4298.30597718,210.744066951319,1272.21589440437,416.405560912142,15048.2501559181,2141.56378603855
"AT","Austria","AT","AUT","AT","AT21","Kärnten",7051.92795332517,459.016931457148,27904.9837018256,2947.02448452091,93009.5927016429,7550.97163420729
"AT","Austria","AT","AUT","AT","AT22","Steiermark",20455.2958668849,1117.93367458168,67125.8763506467,6787.70498275232,216463.603397205,17728.4792900045
"AT","Austria","AT","AUT","AT","AT32","Salzburg",4750.10903977099,429.5669315307,29875.5643286178,4475.54171736011,132789.337319332,10195.3985337266
"AT","Austria","AT","AUT","AT","AT33","Tirol",5021.51769244808,568.521964949676,38020.6367898394,5234.96232878987,157186.236882939,12205.7370084243
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",2008.68894716655,467.494208384005,27242.7962647709,2479.10434241368,80172.9313084057,6642.36835304262
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",22138.496252921,1754.62533901897,100694.814858151,8557.729533665,282558.081312463,23801.8730861371
"AT","Austria","AT","AUT","AT","AT11","Burgenland",6200.00076471421,136.554828501199,9447.13854973896,1387.3824003911,41791.6048611356,3254.89799421815
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",29945.5998693162,1166.32340038078,73753.2345304926,8753.24929693922,271523.577477354,21716.2865788643
"AT","Austria","AT","AUT","AT","AT13","Wien",837.745605174389,710.470286927431,71447.9316433687,17455.6980350274,487818.331826462,35240.5864328923
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",46.9551952291509,79.8051214048769,32835.0795358112,7662.81201540091,268539.782552217,31953.9135924055
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",3928.40037895504,383.614548698303,83556.7457004397,6446.43667222337,260045.371227719,33608.8628388389
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",1809.6967956209,95.6481036082442,22247.4356189839,2179.06922205491,84543.4841712324,10698.7063543076
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",2467.66022596988,196.902054736264,45113.9922519184,4215.29721638438,164418.741888065,20868.2983924303
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",1153.85269396048,105.33795408111,24532.2508578036,2418.72417939698,93460.4857204655,11800.238616024
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",730.649375119808,18.4001383163545,4634.79913659728,561.450902709751,21227.4842857528,2647.07111538621
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",912.015018240786,24.2448296762939,7057.17504950696,1128.53775670339,41155.8592564047,5022.67658483196
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",422.700667134551,145.300369270596,29034.1848519263,1381.03083398724,62104.9517224362,8460.46868042974
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",1223.05863718432,91.2520778613566,22727.6765223383,2696.88903915145,101472.366610362,12617.9832188147
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",1151.55545493485,86.7196573209493,25898.3221047833,4320.39954709399,156117.976984076,18944.6509335763
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",4342.40138904064,172.803904418847,38964.4082590501,3426.44560829644,135777.193544324,17382.3691833086
"BG","Bulgaria","BG","BGR","BG","BG31","Северозападен",981.049608488086,570.973034152663,4706.08004756716,722.008539574811,12986.0613039511,303.111121211456
"BG","Bulgaria","BG","BGR","BG","BG32","Северен централен",900.843609599124,607.122508315554,5043.21769502122,820.680389301396,14354.9706655085,331.594517424863
"BG","Bulgaria","BG","BGR","BG","BG33","Североизточен",923.819393911152,565.507205841436,5165.83768706637,1296.58183449677,20281.317623155,447.415022484865
"BG","Bulgaria","BG","BGR","BG","BG34","Югоизточен",793.062449047934,946.638953720514,7700.79769478657,1127.592167944,19859.1139747783,459.931614868403
"BG","Bulgaria","BG","BGR","BG","BG41","Югозападен",807.187233534558,1869.74102542281,19797.0527769004,7529.11182854052,106573.798999787,2241.01033369505
"BG","Bulgaria","BG","BGR","BG","BG42","Южен централен",1198.92292304837,1295.83016879052,10603.0039395879,1607.73757257433,28114.7912863336,649.379516559718
"CH","Switzerland","CH","CHE","CH","CH05","Ostschweiz",9118.32955567789,590.95594387911,90097.6347895151,10421.6905129238,309194.582576252,12487.8707765075
"CH","Switzerland","CH","CHE","CH","CH06","Zentralschweiz",5424.46412145069,378.036567259999,59775.1118645418,8683.93597121159,245889.578282053,9661.83814575461
"CH","Switzerland","CH","CHE","CH","CH07","Ticino",811.767127384003,154.55061825142,25109.7014683681,4199.92870619985,115696.317444561,4468.62528961371
"CH","Switzerland","CH","CHE","CH","CH03","Nordwestschweiz",3552.97625409606,738.667054992675,112015.750909946,12558.3215816961,373310.420020937,15094.031877732
"CH","Switzerland","CH","CHE","CH","CH04","Zürich",3397.5090503567,424.340871473572,82122.8114831023,23913.1611700767,613815.757685032,22599.0330337616
"CH","Switzerland","CH","CHE","CH","CH01","Région lémanique",9728.73733624413,481.604036709459,85100.0115745665,19444.15792553,514232.684335325,19333.412618448
"CH","Switzerland","CH","CHE","CH","CH02","Espace Mittelland",11371.0447242024,811.573170675748,128103.116598753,18436.6822225249,522884.842987226,20566.1388951968
"CY","Cyprus","CY","CYP","CY","CY00","Κύπρος",3004.79936181751,503.242531820155,12727.4515698518,3487.28898429461,80144.3955497963,1750.80847997746
"CZ","Czechia","CZ","CZE","CZ","CZ01","Praha",1636.56185657815,3828.588324994,45131.6354997157,24789.838197782,302622.911543816,30167.2439486004
"CZ","Czechia","CZ","CZE","CZ","CZ02","Střední Čechy",4572.48322971385,6240.86799286284,57615.3033924437,6986.34679120271,103812.383703542,13019.7852575011
"CZ","Czechia","CZ","CZE","CZ","CZ03","Jihozápad",5863.48642227198,4570.08056115343,42754.2766930131,6215.11950638353,89568.9594820099,10903.7150178559
"CZ","Czechia","CZ","CZE","CZ","CZ04","Severozápad",2256.42689621786,3209.99645207902,30165.5072088234,4707.01744755706,66363.6676261615,7899.11144495251
"CZ","Czechia","CZ","CZE","CZ","CZ05","Severovýchod",5009.07227108831,6151.86803480294,56961.3335985175,7221.51720062012,106383.067252675,13232.7674196177
"CZ","Czechia","CZ","CZE","CZ","CZ08","Moravskoslezsko",2173.84471356481,4098.69021429108,38384.8503936205,5756.38809009122,81571.95538912,9760.91938876374
"CZ","Czechia","CZ","CZE","CZ","CZ06","Jihovýchod",8169.32892439846,5680.48044490735,54436.6917833,10404.3131283983,142848.777647852,16523.5225009227
"CZ","Czechia","CZ","CZE","CZ","CZ07","Střední Morava",3963.72313371202,4579.36901139356,42628.7417468628,5843.91821223731,84722.7252585448,10375.228156483
"DE","Germany","DE","DEU","DE","DE13","Freiburg",9472.5234039964,1353.97711864979,86120.7104693348,9669.84938757129,354200.915337498,14879.865980558
"DE","Germany","DE","DEU","DE","DE12","Karlsruhe",5125.89250162983,1704.20952806569,110898.123100987,14686.2942002648,516484.460027329,21237.3365230447
"DE","Germany","DE","DEU","DE","DE23","Oberpfalz",8379.1681108907,732.378755656105,46495.089785712,5110.37875735036,188805.199276434,7966.25489977192
"DE","Germany","DE","DEU","DE","DE14","Tübingen",8042.40575224142,1410.16929072223,88069.9470077975,8501.4235904821,323578.839556127,13854.3856581953
"DE","Germany","DE","DEU","DE","DE21","Oberbayern",18262.6540952328,3210.66193057896,215788.351710946,34286.8210793034,1164310.02499732,46949.4051766646
"DE","Germany","DE","DEU","DE","DE22","Niederbayern",14585.1287892271,761.224462822728,48356.2650383852,5280.05396180923,196518.83043155,8322.41513599285
"DE","Germany","DE","DEU","DE","DE27","Schwaben",12021.4714754465,1152.9010126036,73485.3131834485,8343.59635359812,305539.669857423,12833.8789555668
"DE","Germany","DE","DEU","DE","DE24","Oberfranken",5422.15432605595,571.743569763491,37066.657428761,4753.4019288345,169045.699730042,6992.93578346197
"DE","Germany","DE","DEU","DE","DE25","Mittelfranken",6937.23553403537,1066.89698689924,69776.584251713,9498.06200123174,332791.736969306,13656.525994132
"DE","Germany","DE","DEU","DE","DE26","Unterfranken",8376.33380378593,748.772025359707,48492.6837098943,6162.23513401356,219840.756172909,9109.46848518721
"DE","Germany","DE","DEU","DE","DE60","Hamburg",1121.49129398752,836.353565185841,64368.9971901723,16944.6519647938,532048.745603086,20452.0069111053
"DE","Germany","DE","DEU","DE","DE71","Darmstadt",5863.53216779694,1662.38821462342,122328.511480394,28152.7204064876,899964.156332028,34994.4732548285
"DE","Germany","DE","DEU","DE","DE72","Gießen",3340.39556823101,490.376088732387,31995.5317997234,4289.93464717191,150824.737969507,6200.81130604211
"DE","Germany","DE","DEU","DE","DE73","Kassel",6895.12419109488,549.323614435862,36482.4620114599,5399.44833948497,186596.011344702,7599.19740297222
"DE","Germany","DE","DEU","DE","DE80","Mecklenburg-Vorpommern",18867.0027327243,367.155302883087,27275.7076529917,6288.38677006913,204321.885939623,8025.93627654391
"DE","Germany","DE","DEU","DE","DE91","Braunschweig",8869.37698126331,1523.61102019015,93168.2037938778,7241.25675814007,293970.200833322,12965.2101897344
"DE","Germany","DE","DEU","DE","DE92","Hannover",12489.4244550327,892.515871430641,61409.7563378415,10846.5010284055,362820.03168827,14503.0341158581
"DE","Germany","DE","DEU","DE","DE93","Lüneburg",22432.8989578701,465.537026938178,32877.4094045093,6319.85608793635,211418.056159939,8451.41114479655
"DE","Germany","DE","DEU","DE","DE94","Weser-Ems",37159.8292229982,1121.13370473559,74496.3797616472,10818.0738367166,379695.366859447,15595.9099726752
"DE","Germany","DE","DEU","DE","DEA1","Düsseldorf",14010.7676316391,2173.58264472556,151510.405749406,28497.6813901434,939936.543655131,37259.5184272208
"DE","Germany","DE","DEU","DE","DE30","Berlin",208.66317631615,748.311361235606,65859.6258427124,23251.2039810313,707575.101306917,26636.9121445092
"DE","Germany","DE","DEU","DE","DE40","Brandenburg",16279.2128530594,718.008805385348,50572.3594458256,9804.71956852301,324034.198933727,12860.2390371562
"DE","Germany","DE","DEU","DE","DE50","Bremen",260.844524628602,359.770457888056,24401.8070531625,4077.20569774669,136843.119363589,5480.80894985505
"DE","Germany","DE","DEU","DE","DEA5","Arnsberg",7686.3646446057,1727.453201054,112419.3689232,14869.3269680481,523535.257574175,21540.9618278862
"DE","Germany","DE","DEU","DE","DEB1","Koblenz",5945.90762061268,602.289224296102,40349.5902871022,6278.46871551954,214527.025868233,8681.12982001319
"DE","Germany","DE","DEU","DE","DEB2","Trier",3629.04393882746,211.277179590634,13906.6362616165,1944.37000839559,68174.190697392,2798.68047623513
"DE","Germany","DE","DEU","DE","DEB3","Rheinhessen-Pfalz",16938.3618384947,1138.58979150777,73048.8789134794,8652.70013394492,314584.769834903,13165.0610527242
"DE","Germany","DE","DEU","DE","DEC0","Saarland",801.038794185878,439.6306277132,28955.2687732454,4133.39031742332,143005.992802591,5827.67549383688
"DE","Germany","DE","DEU","DE","DED2","Dresden",6163.78315535184,595.11023257357,39981.2671561789,6310.75156971194,215095.809563624,8691.87240603098
"DE","Germany","DE","DEU","DE","DED4","Chemnitz",6648.49437393919,553.226814485932,36179.6958202281,4891.43506989974,172214.870986784,7085.63580141985
"DE","Germany","DE","DEU","DE","DED5","Leipzig",3144.96156648313,308.804818749504,22225.6276009983,4721.39461511663,153035.299058755,6002.36950941913
"DE","Germany","DE","DEU","DE","DEE0","Sachsen-Anhalt",17470.9992620166,778.644601512851,51831.0424538772,7689.74489810353,267079.250483934,10907.2186334449
"DE","Germany","DE","DEU","DE","DEF0","Schleswig-Holstein",21395.3439245984,934.097192011325,65944.2732922798,12901.7681129817,425786.482041103,16884.2888094569
"DE","Germany","DE","DEU","DE","DEA2","Köln",9068.14258449252,1769.39836869925,126170.072948837,25992.8560031312,844709.918525708,33184.581582709
"DE","Germany","DE","DEU","DE","DEA3","Münster",16652.2390343122,999.050065101446,67851.0807729586,11244.5801468845,380987.941652359,15343.120067411
"DE","Germany","DE","DEU","DE","DEA4","Detmold",8873.92210544391,1138.21167637032,73382.7113586464,9083.36294389419,325274.532413102,13505.1607134158
"DE","Germany","DE","DEU","DE","DE11","Stuttgart",11466.0045657915,3970.08435464011,245963.746752974,22112.4995947413,856557.800468171,36982.1265115979
"DE","Germany","DE","DEU","DE","DEG0","Thüringen",12442.5186279821,801.329216568195,52813.0489534818,7454.89084260748,260604.175973864,10680.794474876
"DK","Denmark","DK","DNK","DK","DK04","Midtjylland",13045.2529120815,8699.44922705827,39584.703343374,15313.9512287284,200215.462607319,9066.7388235059
"DK","Denmark","DK","DNK","DK","DK05","Nordjylland",8430.54956474718,3710.79770001387,16651.1266140767,5989.83509845584,79881.8840862644,3653.4908456654
"DK","Denmark","DK","DNK","DK","DK01","Hovedstaden",1516.79458646641,15780.7312340723,73395.0417781313,31526.2474936666,400808.491722035,17889.6535445251
"DK","Denmark","DK","DNK","DK","DK02","Sjælland",6955.36291222339,4742.78099159136,20992.7516571684,7159.10083734438,95619.2485294981,4376.49230553714
"DK","Denmark","DK","DNK","DK","DK03","Syddanmark",13289.1427804956,8549.72382099164,38008.2640431562,13222.7371159405,176135.639060112,8051.13348504789
