"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL","AL01","Veri",4400.49524376,372.097434734819,1039.48864690558,365.425262408757,524.821373581341,375.906423421089,1863.24896285164,266.777771398019,322.26101061393,91.8388992145547,62.0513101062514,8282.79472486845,2250.57261758524,129.020964376865
"AL","Albania","AL","ALB","AL","AL02","Qender",1489.5651687,672.095089209074,1877.55987990543,471.627727300386,676.065149303503,485.154997186249,2055.99156415778,344.310607289022,415.918776472995,118.529767287626,80.0850991212737,10665.6122013621,2904.64989136112,166.517946247241
"AL","Albania","AL","ALB","AL","AL03","Jug",4298.30597718,210.744066951319,588.73306975289,416.405560912142,683.482824651478,428.348943538678,2141.56378603855,303.995806982886,367.219485594029,104.651298842643,70.7080578387172,11061.7570517295,2564.54889577615,147.020615615453
"AT","Austria","AT","AUT","AT","AT21","Kärnten",7051.92795332517,459.016931457148,20687.9607591032,2947.02448452091,7217.02294272238,6412.49837184996,7550.97163420729,4720.89707973752,1134.94553885826,2532.84934677717,2863.57260666369,50227.4525702013,20534.2679386844,4583.10924887052
"AT","Austria","AT","AUT","AT","AT22","Steiermark",20455.2958668849,1117.93367458168,50385.4354949539,6787.70498275232,16740.4408556928,14769.523422393,17728.4792900045,10873.3594849669,2614.05208193006,5833.76019506509,6595.49527084569,117926.062474737,47295.3494403146,10556.0010269524
"AT","Austria","AT","AUT","AT","AT32","Salzburg",4750.10903977099,429.5669315307,19360.6449215372,4475.54171736011,10514.9194070806,9738.43418215911,10195.3985337266,7169.45920697485,1723.60159638025,3846.54860345768,4348.80630586156,67817.6162081173,31184.6655084621,6960.20570791882
"AT","Austria","AT","AUT","AT","AT33","Tirol",5021.51769244808,568.521964949676,25623.3687594704,5234.96232878987,12397.268030369,11390.8749609585,12205.7370084243,8385.99017426815,2016.06643323054,4499.24016054927,5086.72214987585,81189.958905115,36476.1540573919,8141.23004155019
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",2008.68894716655,467.494208384005,21070.032879733,2479.10434241368,6172.76338503789,5394.34017018635,6642.36835304262,3971.32650642635,954.742123306098,2130.69075172468,2408.90271569999,44183.6173632081,17273.8954435101,3855.416234344
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",22138.496252921,1754.62533901897,79081.222658431,8557.729533665,21613.5921997199,18620.960561948,23801.8730861371,13708.7969838263,3295.71641090985,7355.02530538451,8315.39744462751,158324.982456567,59628.5209417381,13308.6812074615
"AT","Austria","AT","AUT","AT","AT11","Burgenland",6200.00076471421,136.554828501199,6154.54624850283,1387.3824003911,3292.59230123613,3018.83728159372,3254.89799421815,2222.47543476055,534.302810948764,1192.39952875112,1348.09542899781,21650.8871368045,9666.99872793133,2157.60851134779
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",29945.5998693162,1166.32340038078,52566.3675692839,8753.24929693922,21186.8669612087,19046.3965127675,21716.2865788643,14022.0039776333,3371.01415080045,7523.06670011749,8505.38060938035,144452.105898463,60990.8629336246,13612.7466945675
"AT","Austria","AT","AUT","AT","AT13","Wien",837.745605174389,710.470286927431,32021.0005539536,17455.6980350274,39426.9310894151,37982.2549208697,35240.5864328923,27962.6295306255,6722.46420637798,15002.4723573839,16961.3991963232,234412.863582422,121627.757892989,27146.4901394705
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",46.9551952291509,79.8051214048769,13651.6443435501,7662.81201540091,19183.4351922611,16707.6238368323,31953.9135924055,3684.99778582523,2287.29941922756,6616.32108002927,16552.21765951,162129.099928966,56959.4031916533,3602.81965017314
