"NUTS2.Code","ISO2","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AT11","AT",11.23,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT12","AT",11.53,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT13","AT",11.74,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT21","AT",12.24,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT22","AT",11.76,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT31","AT",12.46,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT32","AT",12.01,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT33","AT",11.53,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"AT34","AT",12.48,0,0,11.5015703634,0,0,0.5499,0,0,0,0,0,0,0
"BE10","BE",12.12,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE21","BE",12.06,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE22","BE",12.36,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE23","BE",11.79,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE24","BE",12.39,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE25","BE",10.65,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE31","BE",12.42,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE32","BE",12.36,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE33","BE",17.79,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE34","BE",17.58,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BE35","BE",14.79,0,0,0.18606699078,0,0,0.99264,0,0,0,0,0,0,0
"BG31","BG",19.74,0,0,2.262300873,0,0,1.07724,0,0,0,0,0,0,0
