NUTS2 Code,ISO2,A,D,E,H
AT11,AT,11.23,11.5015703634,7.08,0.5499
AT12,AT,11.53,11.5015703634,7.08,0.5499
AT13,AT,11.74,11.5015703634,7.08,0.5499
AT21,AT,12.24,11.5015703634,7.08,0.5499
AT22,AT,11.76,11.5015703634,7.08,0.5499
AT31,AT,12.46,11.5015703634,7.08,0.5499
AT32,AT,12.01,11.5015703634,7.08,0.5499
AT33,AT,11.53,11.5015703634,7.08,0.5499
AT34,AT,12.48,11.5015703634,7.08,0.5499
BE10,BE,12.12,0.18606699078,7.89,0.99264
BE21,BE,12.06,0.18606699078,7.92,0.99264
BE22,BE,12.36,0.18606699078,7.98,0.99264
BE23,BE,11.79,0.18606699078,7.71,0.99264
BE24,BE,12.39,0.18606699078,7.92,0.99264
BE25,BE,10.65,0.18606699078,7.23,0.99264
BE31,BE,12.42,0.18606699078,7.8,0.99264
BE32,BE,12.36,0.18606699078,7.77,0.99264
BE33,BE,17.79,0.18606699078,7.74,0.99264
BE34,BE,17.58,0.18606699078,7.83,0.99264
BE35,BE,14.79,0.18606699078,7.62,0.99264
BG31,BG,19.74,2.262300873,6.39,1.07724
BG32,BG,15.99,2.262300873,6.39,1.07724
BG33,BG,15.84,2.262300873,6.39,1.07724
BG34,BG,15.9,2.262300873,6.39,1.07724
BG41,BG,19.08,2.262300873,6.39,1.07724
BG42,BG,15.93,2.262300873,6.39,1.07724
CZ01,CZ,12.55,0.47994624369,3.99,1.51152
CZ02,CZ,11.75,0.47994624369,3.81,1.51152
CZ03,CZ,11.33,0.47994624369,3.66,1.51152
CZ04,CZ,11.5,0.47994624369,3.75,1.51152
CZ05,CZ,11.93,0.47994624369,3.84,1.51152
CZ06,CZ,11.34,0.47994624369,3.96,1.51152
CZ07,CZ,11.79,0.47994624369,3.96,1.51152
CZ08,CZ,11.21,0.47994624369,4.14,1.51152
DE11,DE,9.3,0.347375128205,7.89,0.29046
DE12,DE,8.04,0.347375128205,7.77,0.29046
DE13,DE,11.49,0.347375128205,7.77,0.29046
DE14,DE,11.49,0.347375128205,8.1,0.29046
DE21,DE,7.53,0.347375128205,7.65,0.29046
DE22,DE,7.29,0.347375128205,7.59,0.29046
DE23,DE,7.2,0.347375128205,7.59,0.29046
DE24,DE,11.22,0.347375128205,7.74,0.29046
DE25,DE,9.78,0.347375128205,7.89,0.29046
DE26,DE,9.45,0.347375128205,7.77,0.29046
DE27,DE,7.86,0.347375128205,7.77,0.29046
DE30,DE,15.36,0.347375128205,8.1,0.29046
DE40,DE,6.78,0.347375128205,7.86,0.29046
DE50,DE,10.02,0.347375128205,8.04,0.29046
DE60,DE,10.14,0.347375128205,7.38,0.29046
DE71,DE,7.92,0.347375128205,7.56,0.29046
DE72,DE,11.37,0.347375128205,7.35,0.29046
DE73,DE,11.28,0.347375128205,7.38,0.29046
DE80,DE,7.83,0.347375128205,7.65,0.29046
DE91,DE,7.65,0.347375128205,7.62,0.29046
DE92,DE,7.92,0.347375128205,7.77,0.29046
DE93,DE,7.68,0.347375128205,7.47,0.29046
DE94,DE,9.99,0.347375128205,7.89,0.29046
DEA1,DE,10.14,0.347375128205,7.77,0.29046
DEA2,DE,8.4,0.347375128205,7.44,0.29046
DEA3,DE,8.4,0.347375128205,7.86,0.29046
DEA4,DE,8.1,0.347375128205,7.68,0.29046
DEA5,DE,11.16,0.347375128205,7.68,0.29046
DEB1,DE,11.4,0.347375128205,7.41,0.29046
DEB2,DE,8.61,0.347375128205,7.92,0.29046
DEB3,DE,7.92,0.347375128205,7.86,0.29046
DEC0,DE,7.85,0.347375128205,0,0.29046
DED2,DE,6.63,0.347375128205,7.83,0.29046
DED4,DE,7.29,0.347375128205,7.8,0.29046
DED5,DE,7.05,0.347375128205,8.31,0.29046
DEE0,DE,7.17,0.347375128205,7.65,0.29046
DEF0,DE,7.95,0.347375128205,7.32,0.29046
DEG0,DE,9.3,0.347375128205,7.62,0.29046
EL30,EL,16.71,1.907188605,11.35,0
EL41,EL,33,1.907188605,11.35,0
EL42,EL,28.32,1.907188605,11.35,0
EL43,EL,22.77,1.907188605,11.35,0
EL51,EL,19.17,1.907188605,11.35,0
