"NUTS2.Code","ISO2","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AT11","AT",0,0,0,0,0,0
"AT12","AT",0,0,0,0,0,0
"AT13","AT",0,0,0,0,0,0
"AT21","AT",0,0,0,0,0,0
"AT22","AT",0,0,0,0,0,0
"AT31","AT",0,0,0,0,0,0
"AT32","AT",0,0,0,0,0,0
"AT33","AT",0,0,0,0,0,0
"AT34","AT",0,0,0,0,0,0
"BE10","BE",0,0,0,0,0,0
"BE21","BE",0,0,0,0,0,0
"BE22","BE",0,0,0,0,0,0
"BE23","BE",0,0,0,0,0,0
"BE24","BE",0,0,0,0,0,0
"BE25","BE",0,0,0,0,0,0
"BE31","BE",0,0,0,0,0,0
"BE32","BE",0,0,0,0,0,0
"BE33","BE",0,0,0,0,0,0
"BE34","BE",0,0,0,0,0,0
"BE35","BE",0,0,0,0,0,0
"BG31","BG",0,0,0,0,0,0
"BG32","BG",0,0,0,0,0,0
"BG33","BG",0,0,0,0,0,0
"BG34","BG",0,0,0,0,0,0
"BG41","BG",0,0,0,0,0,0
"BG42","BG",0,0,0,0,0,0
"CZ01","CZ",0,0,0,0,0,0
"CZ02","CZ",0,0,0,0,0,0
"CZ03","CZ",0,0,0,0,0,0
"CZ04","CZ",0,0,0,0,0,0
"CZ05","CZ",0,0,0,0,0,0
"CZ06","CZ",0,0,0,0,0,0
"CZ07","CZ",0,0,0,0,0,0
"CZ08","CZ",0,0,0,0,0,0
"DE11","DE",0,0,0,0,0,0
"DE12","DE",0,0,0,0,0,0
"DE13","DE",0,0,0,0,0,0
"DE14","DE",0,0,0,0,0,0
"DE21","DE",0,0,0,0,0,0
"DE22","DE",0,0,0,0,0,0
"DE23","DE",0,0,0,0,0,0
"DE24","DE",0,0,0,0,0,0
"DE25","DE",0,0,0,0,0,0
"DE26","DE",0,0,0,0,0,0
"DE27","DE",0,0,0,0,0,0
"DE30","DE",0,0,0,0,0,0
"DE40","DE",0,0,0,0,0,0
"DE50","DE",0,0,0,0,0,0
"DE60","DE",0,0,0,0,0,0
"DE71","DE",0,0,0,0,0,0
"DE72","DE",0,0,0,0,0,0
"DE73","DE",0,0,0,0,0,0
"DE80","DE",0,0,0,0,0,0
"DE91","DE",0,0,0,0,0,0
"DE92","DE",0,0,0,0,0,0
"DE93","DE",0,0,0,0,0,0
"DE94","DE",0,0,0,0,0,0
"DEA1","DE",0,0,0,0,0,0
"DEA2","DE",0,0,0,0,0,0
"DEA3","DE",0,0,0,0,0,0
"DEA4","DE",0,0,0,0,0,0
"DEA5","DE",0,0,0,0,0,0
"DEB1","DE",0,0,0,0,0,0
"DEB2","DE",0,0,0,0,0,0
"DEB3","DE",0,0,0,0,0,0
"DEC0","DE",0,0,0,0,0,0
"DED2","DE",0,0,0,0,0,0
"DED4","DE",0,0,0,0,0,0
"DED5","DE",0,0,0,0,0,0
"DEE0","DE",0,0,0,0,0,0
"DEF0","DE",0,0,0,0,0,0
"DEG0","DE",0,0,0,0,0,0
"EL30","EL",0,0,0,0,0,0
"EL41","EL",0,0,0,0,0,0
"EL42","EL",0,0,0,0,0,0
"EL43","EL",0,0,0,0,0,0
"EL51","EL",0,0,0,0,0,0
"EL52","EL",0,0,0,0,0,0
"EL53","EL",0,0,0,0,0,0
"EL54","EL",0,0,0,0,0,0
"EL61","EL",0,0,0,0,0,0
"EL62","EL",0,0,0,0,0,0
"EL63","EL",0,0,0,0,0,0
"EL64","EL",0,0,0,0,0,0
"EL65","EL",0,0,0,0,0,0
"FR10","FR",0,0,0,0,0,0
"FRB0","FR",0,0,0,0,0,0
"FRC1","FR",0,0,0,0,0,0
"FRC2","FR",0,0,0,0,0,0
"FRD1","FR",0,0,0,0,0,0
"FRD2","FR",0,0,0,0,0,0
"FRE1","FR",0,0,0,0,0,0
"FRE2","FR",0,0,0,0,0,0
"FRF1","FR",0,0,0,0,0,0
"FRF2","FR",0,0,0,0,0,0
"FRF3","FR",0,0,0,0,0,0
"FRG0","FR",0,0,0,0,0,0
"FRH0","FR",0,0,0,0,0,0
"FRI1","FR",0,0,0,0,0,0
"FRI2","FR",0,0,0,0,0,0
"FRI3","FR",0,0,0,0,0,0
"FRJ1","FR",0,0,0,0,0,0
"FRJ2","FR",0,0,0,0,0,0
"FRK1","FR",0,0,0,0,0,0
"FRK2","FR",0,0,0,0,0,0
"FRL0","FR",0,0,0,0,0,0
"FRM0","FR",0,0,0,0,0,0
"HR02","HR",0,0,0,0,0,0
"HR03","HR",0,0,0,0,0,0
"HR05","HR",0,0,0,0,0,0
"HR06","HR",0,0,0,0,0,0
"ITC1","IT",0,0,0,0,0,0
"ITC2","IT",0,0,0,0,0,0
"ITC3","IT",0,0,0,0,0,0
"ITC4","IT",0,0,0,0,0,0
"ITF1","IT",0,0,0,0,0,0
"ITF2","IT",0,0,0,0,0,0
"ITF3","IT",0,0,0,0,0,0
"ITF4","IT",0,0,0,0,0,0
"ITF5","IT",0,0,0,0,0,0
"ITF6","IT",0,0,0,0,0,0
"ITG1","IT",0,0,0,0,0,0
"ITG2","IT",0,0,0,0,0,0
"ITH1","IT",0,0,0,0,0,0
"ITH2","IT",0,0,0,0,0,0
"ITH3","IT",0,0,0,0,0,0
"ITH4","IT",0,0,0,0,0,0
"ITH5","IT",0,0,0,0,0,0
"ITI1","IT",0,0,0,0,0,0
"ITI2","IT",0,0,0,0,0,0
"ITI3","IT",0,0,0,0,0,0
"ITI4","IT",0,0,0,0,0,0
"HU11","HU",0,0,0,0,0,0
"HU12","HU",0,0,0,0,0,0
"HU21","HU",0,0,0,0,0,0
"HU22","HU",0,0,0,0,0,0
"HU23","HU",0,0,0,0,0,0
"HU31","HU",0,0,0,0,0,0
"HU32","HU",0,0,0,0,0,0
"HU33","HU",0,0,0,0,0,0
"AT11","AT",0,0,0,0,0,0
"AT12","AT",0,0,0,0,0,0
"AT13","AT",0,0,0,0,0,0
"AT21","AT",0,0,0,0,0,0
"AT22","AT",0,0,0,0,0,0
"AT31","AT",0,0,0,0,0,0
"AT32","AT",0,0,0,0,0,0
"AT33","AT",0,0,0,0,0,0
"AT34","AT",0,0,0,0,0,0
"PL21","PL",0,0,0,0,0,0
"PL22","PL",0,0,0,0,0,0
