"NUTS2.Code","ISO2","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AT11","AT",11.23,NA,NA,11.5015703634,NA,0.5499
"AT12","AT",11.53,NA,NA,11.5015703634,NA,0.5499
"AT13","AT",11.74,NA,NA,11.5015703634,NA,0.5499
"AT21","AT",12.24,NA,NA,11.5015703634,NA,0.5499
"AT22","AT",11.76,NA,NA,11.5015703634,NA,0.5499
"AT31","AT",12.46,NA,NA,11.5015703634,NA,0.5499
"AT32","AT",12.01,NA,NA,11.5015703634,NA,0.5499
"AT33","AT",11.53,NA,NA,11.5015703634,NA,0.5499
"AT34","AT",12.48,NA,NA,11.5015703634,NA,0.5499
"BE10","BE",12.12,NA,NA,0.18606699078,NA,0.99264
"BE21","BE",12.06,NA,NA,0.18606699078,NA,0.99264
"BE22","BE",12.36,NA,NA,0.18606699078,NA,0.99264
"BE23","BE",11.79,NA,NA,0.18606699078,NA,0.99264
"BE24","BE",12.39,NA,NA,0.18606699078,NA,0.99264
"BE25","BE",10.65,NA,NA,0.18606699078,NA,0.99264
"BE31","BE",12.42,NA,NA,0.18606699078,NA,0.99264
"BE32","BE",12.36,NA,NA,0.18606699078,NA,0.99264
"BE33","BE",17.79,NA,NA,0.18606699078,NA,0.99264
"BE34","BE",17.58,NA,NA,0.18606699078,NA,0.99264
"BE35","BE",14.79,NA,NA,0.18606699078,NA,0.99264
"BG31","BG",19.74,NA,NA,2.262300873,NA,1.07724
"BG32","BG",15.99,NA,NA,2.262300873,NA,1.07724
"BG33","BG",15.84,NA,NA,2.262300873,NA,1.07724
"BG34","BG",15.9,NA,NA,2.262300873,NA,1.07724
"BG41","BG",19.08,NA,NA,2.262300873,NA,1.07724
"BG42","BG",15.93,NA,NA,2.262300873,NA,1.07724
"CZ01","CZ",12.55,NA,NA,0.47994624369,NA,1.51152
"CZ02","CZ",11.75,NA,NA,0.47994624369,NA,1.51152
"CZ03","CZ",11.33,NA,NA,0.47994624369,NA,1.51152
"CZ04","CZ",11.5,NA,NA,0.47994624369,NA,1.51152
"CZ05","CZ",11.93,NA,NA,0.47994624369,NA,1.51152
"CZ06","CZ",11.34,NA,NA,0.47994624369,NA,1.51152
"CZ07","CZ",11.79,NA,NA,0.47994624369,NA,1.51152
"CZ08","CZ",11.21,NA,NA,0.47994624369,NA,1.51152
"DE11","DE",9.3,NA,NA,0.347375128205,NA,0.29046
"DE12","DE",8.04,NA,NA,0.347375128205,NA,0.29046
"DE13","DE",11.49,NA,NA,0.347375128205,NA,0.29046
"DE14","DE",11.49,NA,NA,0.347375128205,NA,0.29046
"DE21","DE",7.53,NA,NA,0.347375128205,NA,0.29046
"DE22","DE",7.29,NA,NA,0.347375128205,NA,0.29046
"DE23","DE",7.2,NA,NA,0.347375128205,NA,0.29046
"DE24","DE",11.22,NA,NA,0.347375128205,NA,0.29046
"DE25","DE",9.78,NA,NA,0.347375128205,NA,0.29046
"DE26","DE",9.45,NA,NA,0.347375128205,NA,0.29046
"DE27","DE",7.86,NA,NA,0.347375128205,NA,0.29046
"DE30","DE",15.36,NA,NA,0.347375128205,NA,0.29046
