"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.0045599992398012,0.000315829695311639,0.00372140562874291,0.0074103627750783,0.0107717829647581,0.00144908277845637
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",1.13184824900299e-05,3.36643892613707e-07,2.5384046416671e-05,4.24593866695869e-05,6.45683724485418e-05,3.24853013539834e-06
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",1.08078134593591e-05,2.40003989074783e-07,8.86445769427663e-06,3.54635952500899e-05,5.56912265650528e-05,2.25945986211912e-06
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",0.0131660178444394,0.00097991966791592,0.0191779305672002,0.0271590391980107,0.0403593460954583,0.00658237915099283
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",2.58319709539261e-06,7.29864626437139e-08,7.6398803741221e-06,9.91953456065941e-06,1.82655165007871e-05,6.05470142296972e-07
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",2.12576151198678e-07,1.76516268627342e-09,8.1490441002285e-08,6.51253600626998e-07,1.05135404568174e-06,2.92885105375973e-08
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",0.0303290252201347,0.00515485978711382,0.0277891422278027,0.0698282308448282,0.0917966540221616,0.022052000597419
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",8.04445907282011e-07,3.80566338394735e-08,1.35131447582513e-06,9.27263028522945e-06,1.41156906683005e-05,4.24217045969408e-07
"SRB","Serbia","RS","SRB","RS",9.72833070675105e-06,3.29395653201851e-07,3.56952621029839e-05,5.24568476876938e-05,9.79138918869472e-05,3.96977619011612e-06
"TR","Turkey","TR","TUR","TR",1.03442415682052e-05,8.08271279204792e-07,6.81408833108993e-05,0.000119538515785236,0.000173225125532887,7.55844048061143e-06
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
