"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",25.5582723315623,1.84943960282255,197.294003007412,97.1032620835871,2177.73194208349,6.42297555164521
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0.357385604338174,0.00680556840211284,2.36050266985657,1.53286003801058,56.3419145067355,0.0747462838140636
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",0.571262639898479,0.00110243256460614,2.08469678823664,0.849204905798284,40.0555880141821,0.0955291116822312
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",29.1646542698764,0.628694642925149,100.057629411159,45.5438233045688,1530.31071952563,31.6617468971356
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0.00584475751505011,6.52528982800847e-05,0.0315768680727313,0.00685453516903061,0.630122032405528,0.000686768654586832
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0.0405932106964192,0.000290532715222205,0.109268643826896,0.15251379804819,1.54484981579513,0.0175556928109307
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",3151.15652064624,516.480227763571,14813.0171879206,6638.48973129692,103932.550950344,1980.78586720762
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0.0145704908197498,0.00060982633756097,0.247341268424573,0.438498872392996,4.44789625201411,0.0126922486250009
"SRB","Serbia","RS","SRB","RS",0.248834564288269,0.00137468435022401,0.637163244382622,0.246186826976961,13.7939104650586,0.0774446465813095
"TR","Turkey","TR","TUR","TR",1.93530367106086,0.0452301637384784,17.3788181144307,6.78247071149226,373.571832177854,2.06687369681151
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
