"fid4","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0,0,0,0,0,0
"1627",0.275734873073028,0.00350715676230793,0.841752832360834,0.236612542509224,13.772519427184,0.226878673443108
"1628",0.0440324163839882,0.0384467334179185,4.34317125028818,2.01684984483743,61.4479329376928,1.19465104467467
"1629",0.0726054659756342,0.000819524522158138,0.372833335829603,0.0688899152774019,6.57005526545469,0.117752678799301
"1630",0.00971554230274859,0.0131630666611178,1.51242806140898,0.949719466154199,19.8655702349973,0.298917076669679
"1631",0.509040041842569,0.000526489889364564,0.689481763592331,0.0848769443514701,12.6631347026059,0.216620815749008
"1632",2.56692095973107,0.0239908930343898,3.4990045987273,1.01762230638658,55.3594306719073,1.52212215258744
"1633",0.592396596228929,0.0051172215329252,1.45640506358713,0.333021462900688,24.9033409343223,0.560604766995119
"1634",1.94254067229221,0.00454362844246192,1.27486835166434,0.132470044084383,22.2870438336657,0.687182542922253
"1635",0.592137942739448,0.00238697526217324,0.895432380793221,0.196858266382569,15.4609003924888,0.280152245232526
"1636",0.22802603044023,0.230259629055337,34.6954619935173,23.3014482349355,506.573620044107,9.12109751065777
"1637",0.619162232625859,0.00580595498162134,1.13616246468699,0.252633019268355,18.6492173744558,0.420156112349964
"1638",0.294064251188005,0.00139640367597173,0.742444402365307,0.15407206723553,13.1166859383271,0.222366726535392
"1639",0.24062859194914,0.00196524779698398,0.566938937868977,0.0849454518910278,9.65562759908238,0.168481125464595
"1640",0.652479105839721,0.00431997689982079,1.26888993390921,0.24915140930517,21.6399815363926,0.419687171969102
"1641",0.0816603234127463,0.00182172390904117,0.307431436948225,0.0770203551307368,4.81011512268389,0.0840026934400032
"1642",0.761625421553103,0.00474639346358245,1.06061785892133,0.116023787146169,17.7079984669541,0.347867418467215
"1643",2.18306515590793,0.0232430547837085,2.56487340903076,0.326832684076057,39.3800344455607,1.12593263222757
"1644",0.728496416664556,0.00187339033302375,1.13745269111421,0.201947582273901,20.343752710488,0.395526254267536
"1645",1.47075303977836,0.0219470197864859,3.42780706465717,1.15514283284321,53.5996742555361,1.19887020372589
"1646",1.01554318174902,0.00237215062967018,1.14940516125741,0.191885743992543,20.4757683409955,0.492137488801841
"1647",2.67085692398576,0.0200782921711575,3.90787304955921,1.10003870713493,64.7408788212367,1.86780956288226
"1648",0.377587062124911,0.00520910263000814,1.94958774738204,0.859417515241447,33.0133680510724,0.648874643214217
"1649",2.08468158162506,0.00619056955827651,1.4334338572072,0.221174825190822,24.5097996007387,0.754664095175403
"1650",0.719278731079413,0.017128486250399,2.08052784560322,0.477367885415929,32.2816395193653,0.874023935335314
"1651",0.213548647127842,0.00535603993394161,0.644459011331744,0.0581724664114814,9.48979148967482,0.168333895059061
"1652",0.621065768803604,0.00108037898473817,1.73991215484433,0.690411235347965,31.121952949296,0.564727491240976
