"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",25.5582723315623,1.84943960282255,65.953099341433,97.1032620835871,131.340903665979,168.632629719762,6.42297555164521,80.1532209023245,29.8986378515745,19.9921471537931,62.1697846224925,1442.67252650558,358.131390043367,16.0816052845909
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0.357385604338174,0.00680556840211284,0.173011471917611,1.53286003801058,2.18749119793896,3.75196062465777,0.0747462838140636,2.66273633929918,2.60643281679648,0.522701722503448,0.377333740399187,31.9504512891257,13.6857220641966,0.784575909757113
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
