"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL","AL01","Veri",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL02","Qender",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL03","Jug",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT21","Kärnten",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT22","Steiermark",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT32","Salzburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT33","Tirol",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT11","Burgenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT13","Wien",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG31","Северозападен",2.58996355314153,0.150099536977135,6.15455816916211,9.05428288725655,12.7885838875208,15.8702090650855,0.569493325479547,7.54331101325875,2.80932327975129,1.87021904523639,5.8246000906611,144.495658802415,33.5528285899916,1.50666308669688
"BG","Bulgaria","BG","BGR","BG","BG32","Северен централен",13.8034412621476,1.04859177094436,32.770673323546,31.3339997146466,42.7187444449867,49.9064264712862,2.9852692488459,23.721155461112,9.09161883330434,6.23198478453072,19.5696138460428,483.474160463253,112.731498940397,5.06211831607449
"BG","Bulgaria","BG","BGR","BG","BG33","Североизточен",6.57320337665536,0.403558585824821,14.955801153201,27.9899041573976,36.144624911983,47.6326429544513,1.79194901106893,22.6403974084634,8.51132101265302,5.71035972177402,17.8655631535085,386.035139328593,102.915250630589,4.62132749158197
"BG","Bulgaria","BG","BGR","BG","BG34","Югоизточен",1.72753417805457,0.162465152529544,7.39662107248801,11.0178468215429,15.8229874947096,20.0090473828532,0.5824192569974,9.51055319239295,3.50474627795603,2.31018310204406,7.16050734809253,178.980420154492,41.2483727514852,1.85222537778868
"BG","Bulgaria","BG","BGR","BG","BG41","Югозападен",0.094183518976992,0.0218811945657667,1.33802219684061,10.8922865786531,13.9129501757895,22.1200762227585,0.231402195682547,10.5139518894144,3.73000795089383,2.40378520607958,7.25997419903337,137.760539206719,41.8213552993095,1.87795470346425
