"fid4","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1627",0.00529376076769268,0.000557211173029712,0.00316357919650465,0.0193875781168323,0.0244467472013303,0.0391436819425595,0.00335819330509945,0.0391436819425598,0.0334941450130922,0.0244467472013303,0.0270184157949558,0.0244467472013302,0.0270184157949557,0.0270184157949558
"1628",0.0100427515171602,0.00122232879293799,0.00618044019978485,0.0316913395844193,0.0392639244171007,0.0612191586660529,0.00661742171063674,0.061219158666053,0.0530808641182505,0.0392639244171006,0.0435761206615889,0.0392639244171008,0.0435761206615886,0.0435761206615887
"1629",0.00859961297259775,0.00100999414177984,0.0052542511718347,0.0281252309194345,0.0349984313141187,0.0549435686243341,0.00561492309211164,0.0549435686243343,0.0474810775359874,0.0349984313141188,0.0388093430955749,0.0349984313141187,0.038809343095575,0.038809343095575
"1630",0.00376651397517952,0.000367802045788732,0.00221694246381983,0.0149523409676363,0.0190237380894472,0.0308463511911901,0.00234127424707782,0.0308463511911902,0.02622173061489,0.0190237380894472,0.0209650154538431,0.0190237380894472,0.0209650154538431,0.0209650154538431
"1631",0.00529376076769268,0.000557211173029712,0.00316357919650465,0.0193875781168324,0.0244467472013303,0.0391436819425597,0.00335819330509945,0.0391436819425596,0.0334941450130924,0.0244467472013303,0.0270184157949558,0.0244467472013304,0.0270184157949558,0.0270184157949558
"1632",0.0238384159174707,0.00356028993721811,0.0152987046981794,0.0618212384801079,0.0746261999828129,0.111303864842039,0.0165076833772667,0.111303864842039,0.0985031063929314,0.0746261999828128,0.0829822531082542,0.0746261999828129,0.082982253108254,0.0829822531082544
"1633",0.0156905007173447,0.00211982410835168,0.00986325736878106,0.0447196847941408,0.0546869355752469,0.0834556775968715,0.0106107880594499,0.0834556775968714,0.0730982168916054,0.0546869355752471,0.0607943521794669,0.0546869355752469,0.0607943521794667,0.0607943521794668
"1634",0.0272396087771854,0.00420268901297909,0.0176012095523935,0.0685545792647488,0.0823990709640626,0.121921722874941,0.0190031795072271,0.121921722874941,0.108276213917679,0.0823990709640628,0.0916030091542746,0.0823990709640627,0.0916030091542747,0.0916030091542746
