"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.00193297133809893,0.000104246413387849,0.00158572950092916,0.00324072984641589,0.0048732762210128,0.000534940258970088
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",9.61916016266673e-07,2.62468295560763e-08,2.88562888300959e-06,4.73009761878428e-06,7.43879065417898e-06,2.61385954915257e-07
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",5.59154435542571e-07,1.14136494543125e-08,5.42718214257055e-07,2.21277275822786e-06,3.54348855871839e-06,1.14405729081465e-07
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",0.00789800599407988,0.000594430322144162,0.013849843755075,0.0201620136892075,0.0295792302717053,0.00415487480829212
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",0.0137835937743505,0.00243497786312253,0.0162772499077453,0.04669338137936,0.0622620505182586,0.0126342180102361
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0,0,0,0,0,0
"SRB","Serbia","RS","SRB","RS",2.66554471790437e-07,9.13351095360388e-09,1.43865639602646e-06,2.14589401260911e-06,4.01980898551935e-06,1.31078932849142e-07
"TR","Turkey","TR","TUR","TR",2.05554103223979e-06,1.07135867357323e-07,1.04822714425782e-05,1.83649390906765e-05,2.68282924910392e-05,1.06886317855622e-06
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
