"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",10.8340824790117,0.610447491903698,84.0690191117227,42.4655916545597,985.230516045203,2.37109173888308
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0.0303728823275431,0.000530603993720579,0.268339198989405,0.170765010624068,6.49103719325235,0.00601429814617069
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",0.0295549178527304,5.24273737613276e-05,0.127633630527641,0.0529866605021985,2.54863335924548,0.00483703112134954
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",17.4952378889593,0.381373260850165,72.2592319850105,33.8102972726966,1121.55962718141,19.9852654415369
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",1432.10212279254,243.967435251796,8676.59680457057,4439.0861555011,70493.3508382512,1134.84853074168
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0,0,0,0,0,0
"SRB","Serbia","RS","SRB","RS",0.00681802128714995,3.81173656922084e-05,0.0256801301584336,0.0100709604423491,0.566302535465693,0.00255716220325762
"TR","Turkey","TR","TUR","TR",0.384571075557367,0.00599523074431531,2.67342423483845,1.04200441742675,57.8570478690639,0.292283202456267
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
