"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL","AL01","Veri",0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL02","Qender",0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL03","Jug",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT21","Kärnten",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT22","Steiermark",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT32","Salzburg",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT33","Tirol",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT11","Burgenland",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT13","Wien",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG31","Северозападен",0.000594465861331309,4.52566293765698e-05,0.0011868556802327,0.00401727035287395,0.00547362679308009,0.000396860471820295
"BG","Bulgaria","BG","BGR","BG","BG32","Северен централен",0.00719568036459772,0.0006142152849256,0.00725898785773706,0.0201030245932368,0.0267695576730754,0.00377604468448273
"BG","Bulgaria","BG","BGR","BG","BG33","Североизточен",0.00306594286693596,0.000238682198505471,0.00462573394104874,0.0104809106865902,0.0147474485412339,0.00150488568330762
"BG","Bulgaria","BG","BGR","BG","BG34","Югоизточен",0.000913579236526202,6.27681761189628e-05,0.00148639043364122,0.00500274594460381,0.00704585803796642,0.000504167646627549
"BG","Bulgaria","BG","BGR","BG","BG41","Югозападен",1.09993117596082e-05,9.45870848544913e-07,9.42924865545486e-05,0.000174406873718006,0.000267443862667011,8.83703963988542e-06
"BG","Bulgaria","BG","BGR","BG","BG42","Южен централен",0.00016925019079918,1.19918609692202e-05,0.000440066721601267,0.00156952586123662,0.00221764952508842,0.000113474787294546
"CH","Switzerland","CH","CHE","CH","CH05","Ostschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH06","Zentralschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH07","Ticino",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH03","Nordwestschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH04","Zürich",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH01","Région lémanique",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH02","Espace Mittelland",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY","CY00","Κύπρος",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ01","Praha",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ02","Střední Čechy",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ03","Jihozápad",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ04","Severozápad",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ05","Severovýchod",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ08","Moravskoslezsko",0,0,0,0,0,0
