"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",10.8340824790117,0.610447491903698,24.8787022205148,42.4655916545597,59.1903168912078,76.5886965634397,2.37109173888308,36.4035757757685,13.426150878147,8.88125013156568,27.4973287021462,656.921315429677,158.399399489253,7.11279907520515
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0.0303728823275431,0.000530603993720579,0.0156650050695256,0.170765010624068,0.252674193919879,0.443389080201914,0.00601429814617069,0.314669671249486,0.301179787045895,0.0598843652368796,0.0424996129035278,3.69960531516944,1.5414415085656,0.0883678528796156
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",0.0295549178527304,5.24273737613276e-05,0.0258775693917468,0.0529866605021985,0.101756061135894,0.162549948494943,0.00483703112134954,0.0499030664495601,0.117260601036853,0.0232707676478041,0.0553442636942508,1.19714621813254,0.827782337508886,0.115376156280638
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",17.4952378889593,0.381373260850165,9.48453981842068,33.8102972726966,62.7746921665899,77.0168633224284,19.9852654415369,14.4354617902764,25.3052729517609,8.47330297978714,18.3726584700882,666.664486842265,273.524935390071,37.7666454347369
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",1432.10212279254,243.967435251796,4450.13331704664,4439.0861555011,4226.46348752394,8880.84448171454,1134.84853074168,1664.5587167641,3029.04427972797,1060.21330240054,2306.05116636646,14480.7585637889,34331.5855630531,4740.29476443567
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRB","Serbia","RS","SRB","RS",0.00681802128714995,3.81173656922084e-05,0.00114042801318595,0.0100709604423491,0.0245397021452476,0.0263735879468747,0.00255716220325762,0.0187171236719073,0.0178533124117455,0.00354610137603259,0.0025100325595653,0.401045628705222,0.0910377321305895,0.00521901666375648
"TR","Turkey","TR","TUR","TR",0.384571075557367,0.00599523074431531,0.166653724846765,1.04200441742675,2.50677050999168,2.65435709593424,0.292283202456267,1.88377592514459,1.81659668364747,0.362107689221534,0.258465621800414,40.9698971624135,9.37442980680196,0.537417884100339
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
