"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.000740596943872111,3.29984598862649e-05,0.000642308732060191,0.00136026672911206,0.0020822087594323,0.000188849509235114
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",0,0,0,0,0,0
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",0.0049818438468684,0.00032947306713034,0.00947455075644685,0.0137081034026818,0.0206404305692832,0.00250288513536808
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",0.0052004666969144,0.00112619870052838,0.00959289662619792,0.0318040143052135,0.0425755412921766,0.00751380339152387
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0,0,0,0,0,0
"SRB","Serbia","RS","SRB","RS",0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR",1.27327016265849e-07,4.34088636504905e-09,5.324248006341e-07,9.29275772384961e-07,1.37521220860696e-06,4.74261556008481e-08
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
