"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",4.15096086293018,0.193232806958164,8.8022157806321,17.8245439136624,25.2504174330113,33.1704244029199,0.837064520254291,15.7663220873055,5.75967078563674,3.77880409011392,11.642672301464,280.762672688221,67.0680530817567,3.01163759126559
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE","Germany","DE","DEU","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HU","Hungary","HU","HUN","HU",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",11.0355124181904,0.211382584792385,5.68390167384123,22.9875377645255,43.7479744664931,53.9993789656888,12.0390688307091,10.1212375852608,17.5766358703624,5.83463895234816,12.6019339550416,468.975083232763,187.61265150901,25.9044042127533
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",540.32348298178,112.837086822415,2230.02482380511,3023.57112338064,2883.47387438955,6214.75659174013,674.915434595494,1164.84724832733,2103.47462959526,729.023619496316,1586.48640512811,9525.46278859239,23618.9875388138,3261.16493413576
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRB","Serbia","RS","SRB","RS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TR","Turkey","TR","TUR","TR",0.0238216055164379,0.000242912257447107,0.00726765709298598,0.0527259826483374,0.12852327076474,0.138077529786916,0.0129687961165705,0.0979925145770479,0.0934700762480071,0.0185654268718711,0.0131411431849028,2.10054536911953,0.476623248809206,0.0273238866967906
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
