"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0.00420052071564446,0.000286874387336372,0.00114570330142181,0.00041795195730994,0.00209426800926689,0.00123944807233342
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.000147565483388536,2.22662350957567e-05,0.000107818060366408,5.56666325804686e-05,0.000264174475200196,0.000148801810279499
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0.00482890474942433,0.000240692414920799,0.000875922681572696,0.000289223377309783,0.0014788458613681,0.000886451319067598
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0.00182354998015775,0.000101835273271687,0.000265197132582428,9.96157748282054e-05,0.000518815993791437,0.000327637917483167
"DE","Germany","DE","DEU","DE",1.80851834885993e-08,3.71255283028916e-10,1.31218415628644e-09,6.21783941193598e-10,3.06996007029779e-09,1.80390539243406e-09
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0.00313484434543495,6.26052442941744e-05,0.000194918286303221,5.62999367592781e-05,0.000324187226821524,0.000202099682636128
"HU","Hungary","HU","HUN","HU",0.00420790589571392,0.000236215617328171,0.000637814911358927,0.000248523861073581,0.00127254972908602,0.000795169501038858
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",0,0,0,0,0,0
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0.00047453257032873,4.26160902566352e-05,0.000116565648434907,7.69861324108051e-05,0.000378070801822182,0.000214338645308181
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",0.000157469312166138,7.83268592504498e-06,2.1044643152837e-05,7.63789265962975e-06,3.80150103083597e-05,2.51793981669419e-05
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0.00461437610270812,0.000239576945947132,0.000592755680912874,0.000235032119646049,0.00125060499648912,0.000767963765918927
"TR","Turkey","TR","TUR","TR",0,0,0,0,0,0
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
