"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",413.370647669995,1.95376018536898,510.425688595152,24.2739797545052,3692.8506284041,171.461030854041
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.827087596476715,0.130386906624522,5.71608119305419,0.729439539849636,53.4081678779472,0.659555412344269
"BIH","Bosnia and Herzegovina","BA","BIH","BA",21.7403096053459,0.367659527151539,5.60591394927385,0.508134493966167,72.7932653646206,5.68442397887776
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",61.3532067793802,3.90639507813617,97.6133204175809,7.1648106699753,507.347279812298,36.6568815258934
"DE","Germany","DE","DEU","DE",0.00710296770771667,1.50685835763109e-05,0.0035590622724758,0.000258976304979472,0.0437970868006977,0.00104285325505777
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0,0,0,0,0,0
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",17.8221825680892,0.0517619972596337,14.3065261439042,0.581478837052163,77.0212551220277,4.44144672945345
"HU","Hungary","HU","HUN","HU",222.414962977391,1.0850310855874,149.997974276293,5.95110790497422,915.273927685677,33.6194669109109
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",0,0,0,0,0,0
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0
"PL","Poland","PL","POL","PL",90.6160004358349,7.0142930794408,156.300176617376,18.0289942960908,555.533705274123,128.475751940718
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",16.3609099281101,0.784779330114964,11.2178583340634,0.726125685503538,43.0407517336917,2.26169937795618
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",83.5776825200649,3.83902402212573,108.496537708839,11.1145722702971,394.069366306383,22.9768868192485
"TR","Turkey","TR","TUR","TR",0,0,0,0,0,0
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0
