"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL","AL01","Veri",0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL02","Qender",0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL03","Jug",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT21","Kärnten",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT22","Steiermark",0.00324318307283773,0.000146972361824519,0.000453892691350245,0.000148690079805775,0.000789834534427295,0.000485478797589442
"AT","Austria","AT","AUT","AT","AT32","Salzburg",0.00969574091990177,0.00068779679614852,0.00245832477102845,0.000751850988508643,0.0038864167251068,0.0023658881388309
"AT","Austria","AT","AUT","AT","AT33","Tirol",0.00270019544827743,0.000134421654392758,0.00048897380810447,0.000159819462203431,0.000820366526465131,0.00049577189857773
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",0.000134800168063988,9.74017681054545e-06,3.05648936723639e-05,1.1000277387513e-05,5.71475554580591e-05,3.45262967302004e-05
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",0.00688132446145414,0.000373165739455775,0.0011974653195757,0.000464123575949832,0.00237162800591712,0.00141338214905376
"AT","Austria","AT","AUT","AT","AT11","Burgenland",0.00119680943153631,5.85658849917537e-05,0.000209398571986653,6.43179625484267e-05,0.000333976572433666,0.000203603344368704
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",0.00393547767618773,0.00026692146832623,0.000872934135489717,0.000281262614269051,0.00146813810782834,0.000894853113733181
"AT","Austria","AT","AUT","AT","AT13","Wien",0.0113782345249763,0.000617822689138984,0.00280136385685682,0.000716832735475363,0.0036684953791448,0.00223366664534864
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG31","Северозападен",0.000248752158060745,1.3573530029399e-05,4.17414629021783e-05,1.78970252325445e-05,9.17771082945126e-05,5.31259625957732e-05
"BG","Bulgaria","BG","BGR","BG","BG32","Северен централен",4.42309582979114e-05,2.70298419602818e-06,8.58787037578424e-06,3.81906642803643e-06,1.91763769273133e-05,1.1030262755413e-05
"BG","Bulgaria","BG","BGR","BG","BG33","Североизточен",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG34","Югоизточен",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG41","Югозападен",0.000347825289016559,5.76108790200886e-05,0.00026151374816221,9.2767710814962e-05,0.00047323798866212,0.000276153301556368
"BG","Bulgaria","BG","BGR","BG","BG42","Южен централен",0.000218899876907528,1.02469604117239e-05,2.82118685369074e-05,9.28325202251102e-06,5.35767133033935e-05,3.22344093020441e-05
"CH","Switzerland","CH","CHE","CH","CH05","Ostschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH06","Zentralschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH07","Ticino",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH03","Nordwestschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH04","Zürich",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH01","Région lémanique",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH02","Espace Mittelland",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY","CY00","Κύπρος",0,0,0,0,0,0
