"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","agr","coa.oil.gas","pro","ely.elc","ser","air.wtp.tran"
"AL","Albania","AL","ALB","AL","AL01","Veri",0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL02","Qender",0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL03","Jug",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT21","Kärnten",0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT22","Steiermark",66.3402693053686,0.164305352516433,30.4679446760388,1.0092643955835,170.970429409686,8.6068008088007
"AT","Austria","AT","AUT","AT","AT32","Salzburg",46.0558265909029,0.295454759238166,73.443839837495,3.36494046430887,516.0747014737,24.1211724615977
"AT","Austria","AT","AUT","AT","AT33","Tirol",13.5590792165929,0.076421663087157,18.5910955576847,0.83664886404242,128.950327159782,6.05126141020698
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",0.270771607666326,0.00455347624756619,0.832673171170596,0.0272708354391386,4.58168703818228,0.229336380748442
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",152.342175805036,0.654766062102854,120.578548653732,3.97184403317609,670.122658938843,33.6411425339893
"AT","Austria","AT","AUT","AT","AT11","Burgenland",7.42021939074231,0.00799745438106987,1.9782173216754,0.0892336092687011,13.9574169480242,0.662708117201802
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",117.850239785744,0.311316754572879,64.3817160244459,2.46196178060586,398.634111268384,19.4328866638188
"AT","Austria","AT","AUT","AT","AT13","Wien",9.53206596794241,0.438944663222851,200.15165335291,12.5128157720806,1789.5592961675,78.7157224776773
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG31","Северозападен",0.24403820727606,0.00775011962504823,0.196438665720206,0.012921805050883,1.1918231546119,0.0161030700878427
"BG","Bulgaria","BG","BGR","BG","BG32","Северен централен",0.0398451761291188,0.00164104254502993,0.0433104998417036,0.00313423292292883,0.275276328262316,0.00365757465545062
"BG","Bulgaria","BG","BGR","BG","BG33","Североизточен",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG34","Югоизточен",0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG","BG41","Югозападен",0.280760132794634,0.10771742401453,5.17720147425231,0.698458468803557,50.4347702827403,0.618862402471826
"BG","Bulgaria","BG","BGR","BG","BG42","Южен централен",0.262444080276902,0.013278320439914,0.299130553239965,0.0149250330722676,1.50629811233264,0.0209323651291495
"CH","Switzerland","CH","CHE","CH","CH05","Ostschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH06","Zentralschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH07","Ticino",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH03","Nordwestschweiz",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH04","Zürich",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH01","Région lémanique",0,0,0,0,0,0
"CH","Switzerland","CH","CHE","CH","CH02","Espace Mittelland",0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY","CY00","Κύπρος",0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ","CZ01","Praha",1.67386278158798,0.212625364487545,8.4939165336152,1.59736464975221,97.7310502762378,6.05712507098306
