"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",0.00420052071564446,0.000286874387336372,0.000638111617985391,0.00041795195730994,0.00227014661890675,0.00249847523651576,0.00123944807233342,0.0020135586009628,0.00176186377584246,0.00230912683596653,0.00180361219784999,0.00219760296513018,0.00174810376782569,0.0022552292662429
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.000147565483388536,2.22662350957567e-05,4.95280998604333e-05,5.56666325804686e-05,0.000283351746472385,0.00033276959365783,0.000148801810279499,0.000268183997846234,0.000234660998115455,0.000307550456245682,0.000242418871153343,0.000263832996949467,0.000244562703154909,0.000295026052582348
"BIH","Bosnia and Herzegovina","BA","BIH","BA",0.00482890474942433,0.000240692414920799,0.000535386333189214,0.000289223377309783,0.00155726409822886,0.00172894858701208,0.000886451319067598,0.00139338555256426,0.00121921235849373,0.00159791921165626,0.0012524607192509,0.00154707691137371,0.00127745642749725,0.001548203114294
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",0.00182354998015775,0.000101835273271687,0.000226518204008175,9.96157748282054e-05,0.000568063162895779,0.000595493195381869,0.000327637917483167,0.000479916882045277,0.000419927271789616,0.000550363396840913,0.000426453600944806,0.000580918293409872,0.000438672532338112,0.000531001036391846
"DE","Germany","DE","DEU","DE",1.80851834885993e-08,3.71255283028916e-10,8.25805020583554e-10,6.21783941193598e-10,3.22837872744559e-09,3.71696256558825e-09,1.80390539243406e-09,2.99555578298793e-09,2.62111131011444e-09,3.43527039333478e-09,2.67787382240876e-09,3.19841381637243e-09,2.62841070693961e-09,3.30385813581667e-09
