"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND","Andorra","AD","AND","AD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT",413.370647669995,1.95376018536898,195.868731146427,24.2739797545052,314.556957448724,315.7426103177,171.461030854041,187.335327480723,39.4074403186932,115.262497410549,101.7846390598,2022.2024856685,707.419963207594,203.695664940543
"BE","Belgium","BE","BEL","BE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG","Bulgaria","BG","BGR","BG",0.827087596476715,0.130386906624522,1.97119951927598,0.729439539849636,3.7448816737782,3.71354236202042,0.659555412344269,1.42251538744052,0.545168588387998,0.654773218296017,1.45943719290809,36.6717988992244,8.48149160974885,0.459440619920863
"BIH","Bosnia and Herzegovina","BA","BIH","BA",21.7403096053459,0.367659527151539,2.28461895218718,0.508134493966167,3.32129499708667,3.12470154887257,5.68442397887776,1.78717738468524,1.88900817608333,0.705550663485737,0.373647246401122,50.1303424585119,13.8224759533577,0.960361933223012
"CH","Switzerland","CH","CHE","CH",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CY","Cyprus","CY","CYP","CY",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZ","Czechia","CZ","CZE","CZ",61.3532067793802,3.90639507813617,73.9343156305546,7.1648106699753,23.6790047870262,31.7711562460976,36.6568815258934,8.17198655831091,10.5475170506663,9.59814414559613,12.1137170487335,266.515320802149,151.87671575867,16.7527222020741
"DE","Germany","DE","DEU","DE",0.00710296770771667,1.50685835763109e-05,0.00178641024843945,0.000258976304979472,0.00177265202403634,0.0014545520812076,0.00104285325505777,0.00032380687153433,0.000367827869505409,0.00121798754367414,0.000815878199832195,0.029146392944514,0.00881149414038249,0.00165914715004755
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
