"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL","AL01","Veri",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL02","Qender",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL03","Jug",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT21","Kärnten",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT22","Steiermark",0.00324318307283773,0.000146972361824519,0.000326919292007103,0.000148690079805775,0.000836057658051424,0.000888854510220152,0.000485478797589442,0.000716341157959314,0.000626798513214401,0.000821492153623065,0.000641650881032031,0.000860778009910352,0.000621903269504308,0.00080231761979597
"AT","Austria","AT","AUT","AT","AT32","Salzburg",0.00969574091990177,0.00068779679614852,0.00152990697604831,0.000751850988508643,0.00416777841223686,0.00449449043959311,0.0023658881388309,0.00362217713800851,0.00316940499575742,0.00415387286468863,0.00324450595366913,0.0041948371255867,0.0031446522091073,0.00405691688597824
"AT","Austria","AT","AUT","AT","AT33","Tirol",0.00270019544827743,0.000134421654392758,0.000299002013296713,0.000159819462203431,0.00088161816654969,0.00095538485140394,0.00049577189857773,0.00076995895602979,0.000673714086526067,0.000882980454162604,0.000689678147075111,0.000879028188967609,0.000668452436131343,0.000862370715515273
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",0.000134800168063988,9.74017681054545e-06,2.166564970038e-05,1.1000277387513e-05,6.09414610860712e-05,6.57585642723158e-05,3.45262967302004e-05,5.29958115022727e-05,4.63713350644887e-05,6.07750131906803e-05,4.74701317432499e-05,6.12168381741141e-05,4.60091788348278e-05,5.93564572846648e-05
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",0.00688132446145414,0.000373165739455775,0.000830054561481755,0.000464123575949832,0.00254177179577111,0.00277448458109238,0.00141338214905376,0.0022359986642445,0.00195649883121393,0.00256421865165653,0.00200285924794009,0.00250599671818042,0.00194121873977245,0.00250436695732274
"AT","Austria","AT","AUT","AT","AT11","Burgenland",0.00119680943153631,5.85658849917537e-05,0.000130271551872683,6.43179625484267e-05,0.000357303584281925,0.000384486383853026,0.000203603344368704,0.000309863333382474,0.000271130416709665,0.000355347859383571,0.000277555015030533,0.000360998837533165,0.000269012910941814,0.00034705364802673
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",0.00393547767618773,0.00026692146832623,0.000593729163520525,0.000281262614269051,0.00156566474122657,0.00168135993723267,0.000894853113733181,0.00135503314719676,0.00118565400379716,0.00155393709540913,0.00121374878864044,0.00158661899598082,0.00117639414567359,0.00151766648799103
"AT","Austria","AT","AUT","AT","AT13","Wien",0.0113782345249763,0.000617822689138984,0.00137425944314889,0.000716832735475363,0.00396040185345502,0.00428515480543834,0.00223366664534864,0.00345347041621279,0.00302178661418619,0.00396040185345505,0.00309338966574756,0.00396040185345503,0.00299818671468983,0.00386796170174687
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",0,0,0,0,0,0,0,0,0,0,0,0,0,0
