"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"AL","Albania","AL","ALB","AL","AL01","Veri",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL02","Qender",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL","Albania","AL","ALB","AL","AL03","Jug",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT21","Kärnten",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT","Austria","AT","AUT","AT","AT22","Steiermark",66.3402693053686,0.164305352516433,16.4719708994799,1.0092643955835,13.9959737765589,13.1279575077962,8.6068008088007,7.78903492436908,1.63848395841877,4.79238822636453,4.23200535138073,101.508161373568,29.4131324492804,8.46926561850826
"AT","Austria","AT","AUT","AT","AT32","Salzburg",46.0558265909029,0.295454759238166,29.6199857262541,3.36494046430887,43.8238541112409,43.7692993283209,24.1211724615977,25.9690512313889,5.46279151026303,15.9780738666088,14.1097279507217,284.483854238601,98.0649272814577,28.236976066338
"AT","Austria","AT","AUT","AT","AT33","Tirol",13.5590792165929,0.076421663087157,7.66143884652574,0.83664886404242,10.929656711159,10.8826693819362,6.05126141020698,6.45686823985558,1.35825235543978,3.97274112034842,3.5082011070123,71.3682625387178,24.3825740403658,7.02075837610607
"AT","Austria","AT","AUT","AT","AT34","Vorarlberg",0.270771607666326,0.00455347624756619,0.456495951547784,0.0272708354391386,0.376177219622812,0.354724064787934,0.229336380748442,0.21046367094855,0.0442726669000085,0.129492758541328,0.114350929270951,2.70478135407049,0.794757744634573,0.228843849028443
"AT","Austria","AT","AUT","AT","AT31","Oberösterreich",152.342175805036,0.654766062102854,65.641729595185,3.97184403317609,54.9368190585465,51.663567964254,33.6411425339893,30.6528517442347,6.4480653059577,18.8598930714727,16.6545706722696,396.76188644213,115.752002277016,33.3298214615087
"AT","Austria","AT","AUT","AT","AT11","Burgenland",7.42021939074231,0.00799745438106987,0.80176229086466,0.0892336092687011,1.17645503081074,1.16070182984067,0.662708117201802,0.688663646575568,0.144865743781684,0.423716620071689,0.37417064705808,7.81594508794817,2.60054746787162,0.748805904876772
"AT","Austria","AT","AUT","AT","AT12","Niederösterreich",117.850239785744,0.311316754572879,31.2101854462234,2.46196178060586,33.1715305782226,32.0238480452154,19.4328866638188,19.0002801798179,3.99685642475345,11.6903724165497,10.3233954115613,229.190455227934,71.7492940946966,20.6596094678558
"AT","Austria","AT","AUT","AT","AT13","Wien",9.53206596794241,0.438944663222851,44.0051623903467,12.5128157720806,156.146490962563,162.759842195549,78.7157224776773,96.5681138435333,20.3138523531788,59.4158193305913,52.4682169905252,928.369139405526,364.662727852271,105.001584196321
"BE","Belgium","BE","BEL","BE","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
