H2,mapping,mappingNACE
afs,trd,I
atp,tsp,H
b_t,b_t,C
bph,crp,C
c_b,c_b,A
chm,crp,C
cmn,cmn,H
cmt,cmt,C
cns,cns,F
coa,min,B
ctl,ctl,A
dwe,svs,L
edu,osg,P
eeq,eqm,C
ele,eqm,C
ely,utl,D
fmp,mmi,C
frs,frs,A
fsh,fsh,A
gas,min,B
gdt,utl,D
gro,gro,A
hht,osg,Q
i_s,mmi,C
ins,fin,K
lea,twl,C
lum,wpp,C
mil,mil,C
mvh,mvo,C
nfm,mmi,C
nmm,nmm,C
oap,oap,A
obs,svs,M
ocr,ocr,A
ofd,ofd,C
ofi,fin,K
oil,min,B
ome,eqm,C
omf,omf,C
omt,omt,C
osd,osd,A
osg,osg,O
otn,mvo,C
otp,tsp,H
oxt,min,B
p_c,p_c,C
pcr,pcr,C
pdr,pdr,A
pfb,pfb,A
ppp,wpp,C
rmk,rmk,A
ros,svs,R
rpp,crp,C
rsa,svs,L
sgr,sgr,C
tex,twl,C
trd,trd,H
v_f,v_f,A
vol,vol,C
wap,twl,C
whs,svs,H
wht,wht,A
wol,wol,A
wtp,tsp,H
wtr,utl,E
